Gene,Protein class
FGF9,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins, RAS pathway related proteins"
FGFBP1,"Cancer-related genes, Predicted secreted proteins"
FGFBP2,"Plasma proteins, Predicted secreted proteins"
FGFBP3,Predicted secreted proteins
FGFR1,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"
FGFR1OP,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
FGFR1OP2,"Disease related genes, Predicted intracellular proteins"
FGFR2,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"
FGFR3,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"
FGFR4,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins, Transporters"
FGFRL1,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
FGG,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
FGGY,"Disease related genes, Predicted intracellular proteins"
FGL1,"Plasma proteins, Predicted secreted proteins"
FGL2,"Plasma proteins, Predicted secreted proteins"
FGR,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
FH,"Cancer-related genes, Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
FHAD1,Predicted intracellular proteins
FHDC1,Predicted intracellular proteins
FHIT,"Cancer-related genes, Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FHL1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
FHL2,Predicted intracellular proteins
FHL3,Predicted intracellular proteins
FHL5,Predicted intracellular proteins
FHOD1,"Plasma proteins, Predicted intracellular proteins"
FHOD3,Predicted intracellular proteins
FIBCD1,Predicted intracellular proteins
FIBIN,Predicted intracellular proteins
FIBP,"Disease related genes, Predicted intracellular proteins"
FICD,"Enzymes, Predicted intracellular proteins"
FIG4,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
FIGLA,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FIGN,Predicted intracellular proteins
FIGNL1,Predicted intracellular proteins
FIGNL2,Predicted intracellular proteins
FILIP1,Predicted intracellular proteins
FILIP1L,Predicted intracellular proteins
FIP1L1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
FIS1,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FITM1,Predicted membrane proteins
FITM2,Predicted membrane proteins
FIZ1,"Predicted intracellular proteins, Transcription factors"
FJX1,Predicted intracellular proteins
FKBP10,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FKBP11,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FKBP14,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FKBP15,Predicted intracellular proteins
FKBP1A,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
FKBP1B,"Enzymes, Predicted intracellular proteins"
FKBP2,"Enzymes, Predicted intracellular proteins"
FKBP3,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FKBP4,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FKBP5,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins"
FKBP6,"Disease related genes, Predicted intracellular proteins"
FKBP7,"Enzymes, Predicted intracellular proteins"
FKBP8,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FKBP9,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FKBPL,Predicted intracellular proteins
FKRP,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
FKTN,"Disease related genes, Predicted intracellular proteins"
FLAD1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FLCN,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
FLG,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
FLG2,"Plasma proteins, Predicted intracellular proteins"
FLI1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
FLII,"Plasma proteins, Predicted intracellular proteins"
FLNA,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
FLNB,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
FLNC,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
FLOT1,"Plasma proteins, Predicted intracellular proteins"
FLOT2,"Plasma proteins, Predicted intracellular proteins"
FLRT1,Predicted membrane proteins
FLRT2,Predicted membrane proteins
FLRT3,"Disease related genes, Predicted membrane proteins"
FLT1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"
FLT3,"Cancer-related genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Predicted membrane proteins, RAS pathway related proteins"
FLT3LG,"Predicted intracellular proteins, Predicted membrane proteins, RAS pathway related proteins"
FLT4,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins, RAS pathway related proteins"
FLVCR1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Transporters"
FLVCR2,"Disease related genes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
FLYWCH1,Predicted intracellular proteins
FLYWCH2,Predicted intracellular proteins
FMC1,Predicted intracellular proteins
FMN1,Predicted intracellular proteins
FMN2,"Disease related genes, Predicted intracellular proteins"
FMNL1,"Predicted intracellular proteins, Predicted membrane proteins"
FMNL2,Predicted intracellular proteins
FMNL3,Predicted intracellular proteins
FMO1,"Enzymes, Predicted membrane proteins"
FMO2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FMO3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
FMO4,"Enzymes, Predicted membrane proteins"
FMO5,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FMOD,Predicted secreted proteins
FMR1,"Disease related genes, Predicted intracellular proteins"
FMR1NB,Predicted membrane proteins
FN1,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
FN3K,"Plasma proteins, Predicted intracellular proteins"
FN3KRP,"Plasma proteins, Predicted intracellular proteins"
FNBP1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
FNBP1L,Predicted intracellular proteins
FNBP4,Predicted intracellular proteins
FNDC1,"Predicted intracellular proteins, Predicted secreted proteins"
FNDC10,Predicted membrane proteins
FNDC11,Predicted intracellular proteins
FNDC3A,"Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FNDC3B,"Predicted intracellular proteins, Predicted membrane proteins"
FNDC4,Predicted membrane proteins
FNDC5,Predicted membrane proteins
FNDC7,"Predicted intracellular proteins, Predicted secreted proteins"
FNDC8,Predicted intracellular proteins
FNDC9,Predicted membrane proteins
FNIP1,Predicted intracellular proteins
FNIP2,Predicted intracellular proteins
FNTA,"Enzymes, Predicted intracellular proteins"
FNTB,"Enzymes, Predicted intracellular proteins"
FOCAD,"Predicted intracellular proteins, Predicted membrane proteins"
FOLH1,"Cancer-related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FOLR1,"Disease related genes, Potential drug targets, Predicted membrane proteins, Predicted secreted proteins, Transporters"
FOLR2,"Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
FOLR3,Predicted secreted proteins
FOPNL,Predicted intracellular proteins
FOS,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOSB,"Predicted intracellular proteins, Transcription factors"
FOSL1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
FOSL2,"Predicted intracellular proteins, Transcription factors"
FOXA1,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOXA2,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOXA3,"Predicted intracellular proteins, Transcription factors"
FOXB1,"Predicted intracellular proteins, Transcription factors"
FOXB2,"Predicted intracellular proteins, Transcription factors"
FOXC1,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
FOXC2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXD1,"Predicted intracellular proteins, Transcription factors"
FOXD2,"Predicted intracellular proteins, Transcription factors"
FOXD3,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXD4,"Predicted intracellular proteins, Transcription factors"
FOXD4L1,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
FOXD4L3,"Predicted intracellular proteins, Transcription factors"
FOXD4L4,"Predicted intracellular proteins, Transcription factors"
FOXD4L5,"Predicted intracellular proteins, Transcription factors"
FOXD4L6,"Predicted intracellular proteins, Transcription factors"
FOXE1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXE3,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXF1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXF2,"Predicted intracellular proteins, Transcription factors"
FOXG1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXH1,"Predicted intracellular proteins, Transcription factors"
FOXI1,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
FOXI2,"Predicted intracellular proteins, Transcription factors"
FOXI3,"Predicted intracellular proteins, Transcription factors"
FOXJ1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXJ2,"Predicted intracellular proteins, Transcription factors"
FOXJ3,"Predicted intracellular proteins, Transcription factors"
FOXK1,"Predicted intracellular proteins, Transcription factors"
FOXK2,"Predicted intracellular proteins, Transcription factors"
FOXL1,"Predicted intracellular proteins, Transcription factors"
FOXL2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXL2NB,Predicted intracellular proteins
FOXM1,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOXN1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXN2,"Predicted intracellular proteins, Transcription factors"
FOXN3,"Predicted intracellular proteins, Transcription factors"
FOXN4,"Predicted intracellular proteins, Transcription factors"
FOXO1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXO3,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXO4,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, RAS pathway related proteins, Transcription factors"
FOXO6,Predicted intracellular proteins
FOXP1,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
FOXP2,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXP3,"Disease related genes, Predicted intracellular proteins, Transcription factors"
FOXP4,"Predicted intracellular proteins, Transcription factors"
FOXQ1,"Cancer-related genes, Predicted intracellular proteins, Transcription factors"
FOXR1,"Predicted intracellular proteins, Transcription factors"
FOXR2,"Predicted intracellular proteins, Transcription factors"
FOXRED1,"Disease related genes, Predicted intracellular proteins"
FOXRED2,Predicted intracellular proteins
FOXS1,"Predicted intracellular proteins, Transcription factors"
FPGS,"Enzymes, Predicted intracellular proteins"
FPGT,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FPR1,"G-protein coupled receptors, Predicted membrane proteins"
FPR2,"G-protein coupled receptors, Predicted membrane proteins"
FPR3,"G-protein coupled receptors, Predicted membrane proteins"
FRA10AC1,Predicted intracellular proteins
FRAS1,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
FRAT1,Predicted intracellular proteins
FRAT2,Predicted intracellular proteins
FREM1,"Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
FREM2,"Disease related genes, Predicted membrane proteins"
FREM3,Predicted secreted proteins
FRG1,"Disease related genes, Predicted intracellular proteins"
FRG2,Predicted intracellular proteins
FRG2B,Predicted intracellular proteins
FRG2C,Predicted intracellular proteins
FRK,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
FRMD1,Predicted intracellular proteins
FRMD3,"Predicted intracellular proteins, Predicted membrane proteins"
FRMD4A,"Disease related genes, Predicted intracellular proteins"
FRMD4B,"Plasma proteins, Predicted intracellular proteins"
FRMD5,"Predicted intracellular proteins, Predicted membrane proteins"
FRMD6,Predicted intracellular proteins
FRMD7,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
FRMD8,Predicted intracellular proteins
FRMPD1,Predicted intracellular proteins
FRMPD2,Predicted intracellular proteins
FRMPD3,Predicted intracellular proteins
FRMPD4,"Disease related genes, Predicted intracellular proteins"
FRRS1,Predicted membrane proteins
FRRS1L,"Disease related genes, Predicted membrane proteins"
FRS2,Predicted intracellular proteins
FRS3,Predicted intracellular proteins
FRY,Predicted intracellular proteins
FRYL,"Disease related genes, Predicted intracellular proteins"
FRZB,"Disease related genes, Predicted secreted proteins"
FSBP,Predicted intracellular proteins
FSCB,Predicted intracellular proteins
FSCN1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
FSCN2,"Disease related genes, Predicted intracellular proteins"
FSCN3,Predicted intracellular proteins
FSD1,Predicted intracellular proteins
FSD1L,"Predicted intracellular proteins, Predicted membrane proteins"
FSD2,Predicted intracellular proteins
FSHB,"Cancer-related genes, Disease related genes, Predicted secreted proteins"
FSHR,"Disease related genes, FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
FSIP1,Predicted intracellular proteins
FSIP2,Predicted intracellular proteins
FST,"Cancer-related genes, Candidate cardiovascular disease genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
FSTL1,"Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
FSTL3,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Predicted secreted proteins"
FSTL4,"Predicted intracellular proteins, Predicted secreted proteins"
FSTL5,Predicted secreted proteins
FTCD,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FTCDNL1,"Predicted intracellular proteins, Predicted secreted proteins"
FTH1,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
FTHL17,Predicted intracellular proteins
FTL,"Cancer-related genes, Candidate cardiovascular disease genes, Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
FTMT,"Enzymes, Predicted intracellular proteins"
FTO,"Disease related genes, Predicted intracellular proteins"
FTSJ1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
FTSJ3,Predicted intracellular proteins
FUBP1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
FUBP3,Predicted intracellular proteins
FUCA1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
FUCA2,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
FUK,"Enzymes, Predicted intracellular proteins"
FUNDC1,Predicted intracellular proteins
FUNDC2,Predicted intracellular proteins
FUOM,"Enzymes, Predicted intracellular proteins"
FURIN,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
FUS,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins"
FUT1,"Blood group antigen proteins, Enzymes, Predicted membrane proteins"
FUT10,Predicted intracellular proteins
FUT11,Predicted intracellular proteins
FUT2,"Blood group antigen proteins, Enzymes, Predicted membrane proteins"
FUT3,"Blood group antigen proteins, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FUT4,Predicted membrane proteins
FUT5,"Enzymes, Predicted membrane proteins"
FUT6,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FUT7,Predicted intracellular proteins
FUT8,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
FUT9,Predicted membrane proteins
FUZ,"Predicted intracellular proteins, Predicted membrane proteins"
FXN,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Transporters"
FXR1,"Plasma proteins, Predicted intracellular proteins"
FXR2,Predicted intracellular proteins
FXYD1,Predicted membrane proteins
FXYD2,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"
FXYD3,"Predicted intracellular proteins, Predicted membrane proteins, Transporters"
FXYD4,Predicted membrane proteins
FXYD5,"Plasma proteins, Predicted membrane proteins, Transporters"
FXYD6,"Predicted membrane proteins, Transporters"
FXYD7,Predicted membrane proteins
FYB1,"Disease related genes, Predicted intracellular proteins"
FYB2,Predicted intracellular proteins
FYCO1,"Disease related genes, Predicted intracellular proteins"
FYN,"Enzymes, Plasma proteins, Predicted intracellular proteins"
FYTTD1,Predicted intracellular proteins
FZD1,"Cancer-related genes, G-protein coupled receptors, Plasma proteins, Predicted membrane proteins, Transporters"
FZD10,"CD markers, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
FZD2,"Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins"
FZD3,"G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins"
FZD4,"CD markers, Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
FZD5,"G-protein coupled receptors, Predicted membrane proteins"
FZD6,"Disease related genes, G-protein coupled receptors, Potential drug targets, Predicted membrane proteins"
FZD7,"G-protein coupled receptors, Predicted membrane proteins"
FZD8,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
FZD9,"CD markers, G-protein coupled receptors, Predicted membrane proteins"
FZR1,Predicted intracellular proteins
G0S2,Predicted intracellular proteins
G2E3,"Enzymes, Predicted intracellular proteins"
G3BP1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
G3BP2,Predicted intracellular proteins
G6PC,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
G6PC2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
G6PC3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
G6PD,"Cancer-related genes, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GAA,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GAB1,"Predicted intracellular proteins, RAS pathway related proteins"
GAB2,"Predicted intracellular proteins, RAS pathway related proteins"
GAB3,Predicted intracellular proteins
GAB4,Predicted intracellular proteins
GABARAP,"Predicted intracellular proteins, Transporters"
GABARAPL1,Predicted intracellular proteins
GABARAPL2,Predicted intracellular proteins
GABBR1,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
GABBR2,"FDA approved drug targets, G-protein coupled receptors, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GABPA,"Predicted intracellular proteins, Transcription factors"
GABPB1,Predicted intracellular proteins
GABPB2,Predicted intracellular proteins
GABRA1,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GABRA2,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GABRA3,"FDA approved drug targets, Predicted membrane proteins, Transporters"
GABRA4,"FDA approved drug targets, Predicted membrane proteins"
GABRA5,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRA6,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRB1,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRB2,"FDA approved drug targets, Predicted membrane proteins, Transporters"
GABRB3,"Disease related genes, FDA approved drug targets, Predicted membrane proteins, Transporters"
GABRD,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRE,"FDA approved drug targets, Predicted membrane proteins"
GABRG1,"FDA approved drug targets, Predicted membrane proteins"
GABRG2,"Disease related genes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Transporters"
GABRG3,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRP,"FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GABRQ,"FDA approved drug targets, Predicted membrane proteins"
GABRR1,"FDA approved drug targets, Predicted membrane proteins, Transporters"
GABRR2,"FDA approved drug targets, Predicted membrane proteins"
GABRR3,"FDA approved drug targets, Predicted membrane proteins"
GAD1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GAD2,"Enzymes, Predicted intracellular proteins"
GADD45A,"Cancer-related genes, Predicted intracellular proteins"
GADD45B,Predicted intracellular proteins
GADD45G,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
GADD45GIP1,"Predicted intracellular proteins, Ribosomal proteins"
GADL1,"Enzymes, Predicted intracellular proteins"
GAGE1,Predicted intracellular proteins
GAGE10,Predicted intracellular proteins
GAGE12C,Predicted intracellular proteins
GAGE12D,Predicted intracellular proteins
GAGE12E,Predicted intracellular proteins
GAGE12F,Predicted intracellular proteins
GAGE12G,Predicted intracellular proteins
GAGE12H,Predicted intracellular proteins
GAGE12J,Predicted intracellular proteins
GAGE2A,Predicted intracellular proteins
GAK,"Enzymes, Predicted intracellular proteins"
GAL,"Disease related genes, Plasma proteins, Predicted secreted proteins"
GAL3ST1,"Enzymes, Predicted intracellular proteins"
GAL3ST2,Predicted intracellular proteins
GAL3ST3,Predicted intracellular proteins
GAL3ST4,Predicted membrane proteins
GALC,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GALE,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GALK1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GALK2,"Enzymes, Predicted intracellular proteins"
GALM,"Enzymes, Predicted intracellular proteins"
GALNS,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GALNT1,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
GALNT10,"Enzymes, Predicted intracellular proteins"
GALNT11,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
GALNT12,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GALNT13,"Enzymes, Predicted intracellular proteins"
GALNT14,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GALNT15,"Enzymes, Predicted intracellular proteins"
GALNT16,"Enzymes, Predicted intracellular proteins"
GALNT17,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GALNT18,"Enzymes, Predicted membrane proteins"
GALNT2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GALNT3,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
GALNT4,"Enzymes, Predicted intracellular proteins"
GALNT5,"Enzymes, Predicted intracellular proteins"
GALNT6,"Enzymes, Predicted intracellular proteins"
GALNT7,Predicted intracellular proteins
GALNT8,"Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins, Voltage-gated ion channels"
GALNT9,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
GALNTL5,"Disease related genes, Predicted membrane proteins"
GALNTL6,"Enzymes, Predicted intracellular proteins"
GALP,Predicted secreted proteins
GALR1,"G-protein coupled receptors, Predicted membrane proteins"
GALR2,"G-protein coupled receptors, Plasma proteins, Predicted membrane proteins"
GALR3,"G-protein coupled receptors, Predicted membrane proteins"
GALT,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GAMT,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GAN,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
GANAB,"Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GANC,"Enzymes, FDA approved drug targets, Predicted intracellular proteins"
GAP43,"Plasma proteins, Predicted intracellular proteins, Transporters"
GAPDH,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GAPDHS,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GAPT,Predicted intracellular proteins
GAPVD1,Predicted intracellular proteins
GAR1,"Plasma proteins, Predicted intracellular proteins"
GAREM1,Predicted intracellular proteins
GAREM2,Predicted intracellular proteins
GARNL3,Predicted intracellular proteins
GARS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GART,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
GAS1,"Cancer-related genes, Predicted intracellular proteins"
GAS2,Predicted intracellular proteins
GAS2L1,"Plasma proteins, Predicted intracellular proteins"
GAS2L2,Predicted intracellular proteins
GAS2L3,Predicted intracellular proteins
GAS6,Predicted secreted proteins
GAS7,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
GAS8,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
GAST,"Cancer-related genes, Predicted secreted proteins"
GATA1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
GATA2,"Cancer-related genes, Disease related genes, Predicted intracellular proteins, Transcription factors"
GATA3,"Cancer-related genes, Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
GATA4,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GATA5,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GATA6,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GATAD1,"Disease related genes, Predicted intracellular proteins, Transcription factors"
GATAD2A,"Plasma proteins, Predicted intracellular proteins, Transcription factors"
GATAD2B,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Transcription factors"
GATB,Predicted intracellular proteins
GATC,Predicted intracellular proteins
GATD1,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
GATM,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GBA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GBA2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GBE1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GBF1,"Plasma proteins, Predicted intracellular proteins"
GBGT1,Predicted intracellular proteins
GBP1,"Plasma proteins, Predicted intracellular proteins"
GBP2,Predicted intracellular proteins
GBP3,Predicted intracellular proteins
GBP4,"Plasma proteins, Predicted intracellular proteins"
GBP5,Predicted intracellular proteins
GBP6,Predicted intracellular proteins
GBP7,Predicted intracellular proteins
GBX1,"Predicted intracellular proteins, Transcription factors"
GBX2,"Predicted intracellular proteins, Transcription factors"
GC,"Plasma proteins, Predicted secreted proteins"
GCA,"Plasma proteins, Predicted intracellular proteins"
GCAT,"Enzymes, Plasma proteins, Predicted intracellular proteins"
GCC1,Predicted intracellular proteins
GCC2,"Plasma proteins, Predicted intracellular proteins"
GCDH,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GCFC2,Predicted intracellular proteins
GCG,Predicted secreted proteins
GCGR,"FDA approved drug targets, G-protein coupled receptors, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
GCH1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GCHFR,Predicted intracellular proteins
GCK,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
GCLC,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
GCLM,"Cancer-related genes, Predicted intracellular proteins"
