Gene,Protein class
ABHD6,"Enzymes, Predicted membrane proteins"
ABHD8,Predicted intracellular proteins
ABI1,"Cancer-related genes, Disease related genes, Predicted intracellular proteins"
ABI2,Predicted intracellular proteins
ABI3,Predicted intracellular proteins
ABI3BP,"Disease related genes, Plasma proteins, Predicted intracellular proteins, Predicted secreted proteins"
ABL1,"Cancer-related genes, Disease related genes, Enzymes, FDA approved drug targets, Predicted intracellular proteins, RAS pathway related proteins"
ABL2,"Cancer-related genes, Enzymes, Predicted intracellular proteins, RAS pathway related proteins"
ABLIM1,Predicted intracellular proteins
ABLIM2,Predicted intracellular proteins
ABLIM3,"Plasma proteins, Predicted intracellular proteins"
ABR,Predicted intracellular proteins
ABRA,Predicted intracellular proteins
ABRACL,"Plasma proteins, Predicted intracellular proteins"
ABRAXAS1,"Disease related genes, Predicted intracellular proteins"
ABRAXAS2,Predicted intracellular proteins
ABT1,Predicted intracellular proteins
ABTB1,Predicted intracellular proteins
ABTB2,Predicted intracellular proteins
AC008397.2,"Enzymes, FDA approved drug targets, Predicted intracellular proteins"
AC008560.1,Predicted intracellular proteins
AC018554.3,Predicted intracellular proteins
AC083902.2,"Disease related genes, Predicted intracellular proteins"
AC091057.5,Predicted intracellular proteins
AC093323.1,Predicted intracellular proteins
AC093827.5,Predicted intracellular proteins
AC106774.8,Predicted intracellular proteins
AC116565.1,Predicted membrane proteins
AC118549.1,Predicted intracellular proteins
AC119396.1,Predicted membrane proteins
AC145212.1,Predicted intracellular proteins
AC233755.1,Predicted secreted proteins
ACAA1,"Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ACAA2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACACA,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ACACB,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACAD10,Predicted intracellular proteins
ACAD11,Predicted intracellular proteins
ACAD8,"Disease related genes, Predicted intracellular proteins"
ACAD9,"Disease related genes, Predicted intracellular proteins"
ACADL,"Enzymes, Predicted intracellular proteins"
ACADM,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ACADS,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACADSB,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACADVL,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ACAP1,"Cancer-related genes, Plasma proteins, Predicted intracellular proteins"
ACAP2,"Plasma proteins, Predicted intracellular proteins"
ACAP3,Predicted intracellular proteins
ACAT1,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACAT2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACBD3,"Plasma proteins, Predicted intracellular proteins"
ACBD4,"Predicted intracellular proteins, Predicted membrane proteins"
ACBD5,"Predicted intracellular proteins, Predicted membrane proteins"
ACBD6,Predicted intracellular proteins
ACBD7,Predicted intracellular proteins
ACCS,Predicted intracellular proteins
ACCSL,Predicted intracellular proteins
ACD,"Disease related genes, Predicted intracellular proteins"
ACE,"Candidate cardiovascular disease genes, CD markers, Disease related genes, Enzymes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ACE2,"Enzymes, FDA approved drug targets, Predicted membrane proteins, Predicted secreted proteins"
ACER1,"Enzymes, Predicted membrane proteins"
ACER2,"Enzymes, Predicted membrane proteins"
ACER3,Predicted membrane proteins
ACHE,"Blood group antigen proteins, Enzymes, FDA approved drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACIN1,"Plasma proteins, Predicted intracellular proteins, Transporters"
ACKR1,"Blood group antigen proteins, CD markers, G-protein coupled receptors, Predicted membrane proteins"
ACKR2,"G-protein coupled receptors, Predicted membrane proteins"
ACKR3,"Cancer-related genes, G-protein coupled receptors, Predicted membrane proteins"
ACKR4,"G-protein coupled receptors, Predicted membrane proteins"
ACLY,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins"
ACMSD,"Enzymes, Predicted intracellular proteins"
ACO1,"Cancer-related genes, Citric acid cycle related proteins, Enzymes, Plasma proteins, Predicted intracellular proteins"
ACO2,"Citric acid cycle related proteins, Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACOD1,"Enzymes, Predicted intracellular proteins"
ACOT1,"Enzymes, Predicted intracellular proteins"
ACOT11,Predicted intracellular proteins
ACOT12,"Enzymes, Predicted intracellular proteins, Transporters"
ACOT13,Predicted intracellular proteins
ACOT2,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACOT4,"Enzymes, Predicted intracellular proteins"
ACOT6,Predicted intracellular proteins
ACOT7,"Enzymes, Predicted intracellular proteins"
ACOT8,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACOT9,Predicted intracellular proteins
ACOX1,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ACOX2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins"
ACOX3,"Enzymes, Predicted intracellular proteins"
ACOXL,Predicted intracellular proteins
ACP1,"Enzymes, Plasma proteins, Predicted intracellular proteins"
ACP2,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACP4,"Disease related genes, Enzymes, Potential drug targets, Predicted membrane proteins"
ACP5,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins"
ACP6,"Enzymes, Predicted intracellular proteins"
ACP7,"Enzymes, Predicted intracellular proteins, Predicted secreted proteins"
ACPP,"Cancer-related genes, Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins, Predicted secreted proteins"
ACR,"Enzymes, Predicted secreted proteins"
ACRBP,Predicted intracellular proteins
ACRV1,Predicted intracellular proteins
ACSBG1,"Enzymes, Predicted intracellular proteins"
ACSBG2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSF2,"Predicted intracellular proteins, Predicted membrane proteins"
ACSF3,"Disease related genes, Predicted intracellular proteins, Predicted membrane proteins"
ACSL1,"Enzymes, Plasma proteins, Predicted intracellular proteins, Predicted membrane proteins"
ACSL3,"Cancer-related genes, Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSL4,"Disease related genes, Enzymes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACSL5,"Enzymes, Plasma proteins, Predicted membrane proteins"
ACSL6,"Disease related genes, Enzymes, Potential drug targets, Predicted intracellular proteins, Predicted membrane proteins"
ACSM1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSM2A,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSM2B,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSM3,"Enzymes, Predicted intracellular proteins"
ACSM4,"Enzymes, Predicted membrane proteins"
ACSM5,"Enzymes, Predicted intracellular proteins"
ACSM6,"Enzymes, Predicted membrane proteins"
ACSS1,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSS2,"Enzymes, Predicted intracellular proteins, Predicted membrane proteins"
ACSS3,"Enzymes, Predicted membrane proteins"
ACTA1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTA2,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTB,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTBL2,"Plasma proteins, Predicted intracellular proteins"
ACTC1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTG1,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTG2,"Disease related genes, Predicted intracellular proteins"
ACTL10,Predicted intracellular proteins
ACTL6A,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTL6B,Predicted intracellular proteins
ACTL7A,Predicted intracellular proteins
ACTL7B,Predicted intracellular proteins
ACTL8,Predicted intracellular proteins
ACTL9,Predicted intracellular proteins
ACTN1,"Disease related genes, FDA approved drug targets, Plasma proteins, Predicted intracellular proteins"
ACTN2,"Disease related genes, Plasma proteins, Potential drug targets, Predicted intracellular proteins, Transporters"
ACTN3,"Plasma proteins, Predicted intracellular proteins"
ACTN4,"Disease related genes, Plasma proteins, Predicted intracellular proteins"
ACTR10,Predicted intracellular proteins
ACTR1A,"Plasma proteins, Predicted intracellular proteins"
ACTR1B,"Plasma proteins, Predicted intracellular proteins"
ACTR2,"Plasma proteins, Predicted intracellular proteins"
ACTR3,"Plasma proteins, Predicted intracellular proteins"
ACTR3B,Predicted intracellular proteins
