Gene Name,GenBank Gene ID,Drug IDs
KCNH2,U04270,DB00176; DB00199; DB00204; DB00252; DB00276; DB00280; DB00308; DB00342; DB00346; DB00455; DB00457; DB00458; DB00472; DB00477; DB00489; DB00537; DB00557; DB00604; DB00637; DB00661; DB00675; DB00679; DB00908; DB01026; DB01035; DB01074; DB01100; DB01136; DB01142; DB01149; DB01162; DB01182; DB01195; DB01211; DB01218; DB01244; DB04855; DB06144; DB06217; DB11090; DB11186; DB11386; DB11633; DB11642
TOP1MT,AF349031,DB00762; DB01030
CHRM1,X52068,DB00185; DB00193; DB00202; DB00209; DB00219; DB00245; DB00246; DB00280; DB00332; DB00334; DB00342; DB00354; DB00363; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00420; DB00424; DB00434; DB00458; DB00462; DB00477; DB00483; DB00496; DB00508; DB00517; DB00543; DB00572; DB00622; DB00670; DB00725; DB00747; DB00771; DB00782; DB00804; DB00805; DB00809; DB00810; DB00835; DB00875; DB00907; DB00934; DB00940; DB00942; DB00979; DB00986; DB01019; DB01036; DB01062; DB01069; DB01085; DB01142; DB01148; DB01151; DB01175; DB01224; DB01231; DB01233; DB01238; DB01239; DB01403; DB01409; DB01591; DB01618; DB03128; DB04843; DB06153; DB06702; DB06787; DB08897; DB09076; DB09089; DB09167; DB11156; DB11181; DB11235; DB12278; DB14185
NDUFS6,AF044959,DB00157
SLC5A6,AF116241,DB00166
CNR2,X74328,DB00470; DB00486; DB06202; DB09061
MSMO1,U60205,DB00157
SLC25A29,BX247983,DB00583
PDHB,M34479,DB00119; DB00157
CYSLTR2,AB038269,DB00716
LDHAL6B,AY009108,DB00157
AMD1,M21154,DB00118
AGXT2,AJ292204,DB00114; DB00119; DB00145
mrdA,L42023,DB00303; DB00671
SOAT1,L21934,DB00973
SLC22A5,AF057164,DB00583
RENBP,D10232,DB00141
P2RY12,AF313449,DB00208; DB00374; DB00758; DB01240; DB06209; DB06441; DB08816
HRH2,M64799,DB00272; DB00321; DB00408; DB00501; DB00585; DB00751; DB00768; DB00797; DB00863; DB00927; DB00940; DB00972; DB01069; DB01142; DB01238; DB05381; DB06216
POLB,L11607,DB00987; DB01592; DB14488; DB14489; DB14490; DB14491; DB14501
dld,M10038,DB00756; DB03147
APRT,Y00486,DB00173; DB01632; DB04272
ebgA,M64441,DB00581
PTGIS,D38145,DB00812; DB01240
