Gene Name,GenBank Gene ID,Drug IDs
HTR2B,X77307,DB00247; DB00248; DB00315; DB00320; DB00353; DB00508; DB00543; DB00574; DB00589; DB00696; DB00714; DB00715; DB00805; DB00924; DB01079; DB01142; DB01186; DB01200; DB01238; DB01242; DB01392; DB06016; DB06148; DB06153; DB06216
ELANE,Y00477,DB00058; DB00099
TAS1R2,AF458154,DB02772
GRIN2D,U77783,DB00142; DB00454; DB01173; DB06151
IVD,M34192,DB03147
gp41,AJ964940,DB00109
FTH1,X00318,DB00893; DB01592; DB13995; DB14488; DB14489; DB14490; DB14491; DB14501
ADH1B,M24317,DB00157; DB01213; DB09462
NDUFA7,AF050637,DB00157
CCKAR,L13605,DB00403; DB08862
GGCX,M81592,DB00036; DB00100; DB00142; DB00170; DB01022; DB01125; DB09332; DB13152
ODC1,M16650,DB00114; DB06243
CHRM4,M16405,DB00246; DB00334; DB00342; DB00363; DB00376; DB00387; DB00408; DB00411; DB00424; DB00458; DB00496; DB00572; DB00622; DB00725; DB00747; DB00809; DB00835; DB00934; DB00940; DB01019; DB01036; DB01069; DB01085; DB01142; DB01151; DB01224; DB01238; DB01239; DB01403; DB01409; DB01591; DB01625; DB03128; DB06702; DB06787; DB08897; DB09076; DB09089; DB09167; DB11181; DB11235; DB12278; DB14185
CPT1A,L39211,DB00583; DB01016; DB01074
MAT1A,D49357,DB00118
HSD17B4,X87176,DB00157
ALAS1,X56351,DB00114; DB00145
CKMT2,J05401,DB00148
CHRNA10,AJ278118,DB00184; DB00202; DB00898; DB01090; DB01116; DB14783
RXRA,X52773,DB00132; DB00210; DB00307; DB00412; DB00459; DB00523; DB00749; DB00755; DB01393; DB01436; DB03756; DB04224
GLRA3,AF017724,DB00145; DB00431; DB00602; DB01956; DB09061
KCNN4,AF000972,DB00257; DB00468; DB01159
IL11RA,Z38102,DB00038
GRIN2B,U90278,DB00142; DB00454; DB00502; DB00949; DB01956; DB06077; DB06151; DB11823
CALM1,J04046,DB00477; DB00527; DB00622; DB00623; DB00753; DB00831; DB00836; DB00850; DB00925; DB01023; DB01065; DB01069; DB01100; DB01115; DB01244; DB04825; DB04841; DB11093; DB11348; DB13800; DB14481
SLC12A3,U44128,DB00436; DB00524; DB00562; DB00808; DB00880; DB00999; DB01021; DB01324; DB01325
OPRD1,U07882,DB00193; DB00295; DB00318; DB00321; DB00327; DB00333; DB00497; DB00514; DB00611; DB00647; DB00704; DB00708; DB00813; DB00836; DB00844; DB00854; DB00899; DB00921; DB00956; DB01081; DB01183; DB01192; DB01221; DB01238; DB01452; DB06204; DB06230; DB06274; DB09061; DB09209; DB09272; DB11130; DB11691
CYP4A11,L04751,DB00157
ANXA1,BC001275,DB00288; DB00591; DB00741; DB00959; DB01013; DB01222; DB01234; DB14539; DB14540; DB14541; DB14542; DB14543; DB14544; DB14631; DB14649; DB14669
OAT,M12267,DB00114; DB00129
LDHA,X02152,DB00157; DB02701; DB09118; DB09130
ACHE,M55040,DB00122; DB00382; DB00411; DB00449; DB00483; DB00545; DB00674; DB00677; DB00733; DB00805; DB00843; DB00863; DB00944; DB00981; DB00989; DB01010; DB01122; DB01199; DB01245; DB01400; DB03128; DB04864; DB13503; DB14006
NDUFB2,AF050639,DB00157
AKT1,M63167,DB01169
parC,L42023,DB00218; DB00365; DB00467; DB00487; DB00537; DB00685; DB00978; DB01059; DB01137; DB01155; DB01165; DB01208; DB06771; DB09047
CACNA1C,M92270,DB00270; DB00308; DB00343; DB00381; DB00393; DB00401; DB00568; DB00622; DB00661; DB00898; DB01023; DB01054; DB01115; DB04855; DB04920; DB06712; DB06751; DB09237; DB11633; DB12278
CALCR,L00587,DB00017; DB01278
GLRA1,X52009,DB00145; DB00228; DB00431; DB00572; DB00753; DB00898; DB01028; DB01159; DB01189; DB01236; DB01381; DB01593; DB01956; DB03929; DB09061; DB09130; DB14487; DB14533; DB14548
ABL2,M35296,DB01254; DB12010
PDE3A,M91667,DB00235; DB00261; DB00277; DB00922; DB01166; DB01223; DB01303; DB01427; DB04880
CDK15,AB053308,DB12010
AKR1C4,S68287,DB00157
ITGA2B,J02764,DB00054; DB00775
SLC16A7,AF058056,DB00119
SPTLC1,Y08685,DB00114
HRH1,Z34897,DB00215; DB00245; DB00246; DB00283; DB00321; DB00334; DB00341; DB00342; DB00354; DB00363; DB00366; DB00370; DB00405; DB00408; DB00420; DB00427; DB00433; DB00434; DB00455; DB00458; DB00477; DB00502; DB00540; DB00543; DB00555; DB00557; DB00568; DB00637; DB00656; DB00715; DB00719; DB00726; DB00734; DB00737; DB00748; DB00751; DB00768; DB00777; DB00792; DB00797; DB00835; DB00902; DB00920; DB00934; DB00950; DB00967; DB00972; DB00985; DB01069; DB01075; DB01084; DB01106; DB01114; DB01142; DB01146; DB01151; DB01173; DB01175; DB01176; DB01224; DB01237; DB01238; DB01239; DB01246; DB01267; DB01403; DB01619; DB01620; DB01624; DB04837; DB04841; DB04890; DB04946; DB05381; DB06016; DB06148; DB06153; DB06216; DB06282; DB06691; DB06698; DB06766; DB08799; DB08801; DB08936; DB09016; DB09167; DB09195; DB09488; DB09555; DB11235; DB11591; DB11614; DB14185
CYP27B1,AF027152,DB01436
CASP1,X65019,DB00945; DB01017
MCCC1,AF310972,DB00121
ALDH3B1,U10868,DB00157
AZIN2,AY050634,DB00114
SLC16A3,U81800,DB00119
HTR2A,S42168,DB00246; DB00247; DB00248; DB00315; DB00321; DB00334; DB00363; DB00370; DB00408; DB00409; DB00420; DB00434; DB00458; DB00477; DB00502; DB00540; DB00543; DB00555; DB00574; DB00589; DB00604; DB00623; DB00656; DB00679; DB00696; DB00714; DB00715; DB00726; DB00734; DB00751; DB00777; DB00805; DB00843; DB00875; DB00924; DB00933; DB00934; DB01079; DB01142; DB01149; DB01151; DB01175; DB01186; DB01200; DB01224; DB01238; DB01239; DB01242; DB01267; DB01392; DB01403; DB01618; DB01621; DB01623; DB01624; DB04842; DB04908; DB04946; DB05316; DB06016; DB06077; DB06144; DB06148; DB06153; DB06216; DB06288; DB08815; DB09016; DB09061; DB09128; DB09167; DB09195; DB09225; DB14185
SSTR1,M81829,DB06663; DB09099; DB13985; DB15494
KIT,X06182,DB00398; DB00619; DB01254; DB01268; DB04868; DB06589; DB06595; DB08896; DB08901; DB09078; DB09103; DB12010; DB12147; DB12978; DB14840; DB15233
GRIN2C,L76224,DB00142; DB00145; DB00454
HPD,U29895,DB00348
ENPP1,M57736,DB11077
TK,AF243477,DB00194; DB00249; DB00577
HTR1F,L05597,DB00216; DB00247; DB00315; DB00669; DB00696; DB00952; DB00953; DB06148; DB11732
rpoA,J01685,DB00615; DB11753
KCNH6,AF311913,DB00308; DB01162
NTSR2,Y10148,DB01106
ADH1C,X04299,DB00157; DB01213; DB02659
katG,,DB00609; DB00951
IFNGR2,U05875,DB00033
murA,M92358,DB00828
ABCC9,AF061323,DB01016; DB09220
GABRA5,L08485,DB00241; DB00306; DB00312; DB00371; DB00395; DB00402; DB00418; DB00599; DB00794; DB00849; DB00898; DB01198; DB01205; DB01351; DB01353
GNRHR2,AF403014,DB00644; DB00666; DB01406
NDUFA5,U53468,DB00157
trxB,BA000017,DB00548
PTGIR,L29016,DB00374; DB01088; DB01160; DB01240; DB11362
HTR1E,M91467,DB00246; DB00247; DB00315; DB00363; DB00408; DB01224; DB01238; DB14185
UGCG,D50840,DB00419; DB09039
GABRA4,U30461,DB00241; DB00306; DB00312; DB00371; DB00418; DB00599; DB00794; DB00849; DB00898; DB01351; DB01353
ALDH1B1,M63967,DB00157
ACY1,L07548,DB00128; DB06151; DB09130
CACNA1G,AF134986,DB00347; DB00568; DB00593; DB00661; DB00909; DB04841; DB05246; DB09061
ATP5D,X63422,DB00753; DB01189
NDUFV1,Y17379,DB00157
SLC6A2,M65105,DB00182; DB00191; DB00193; DB00226; DB00234; DB00245; DB00285; DB00289; DB00321; DB00344; DB00408; DB00422; DB00454; DB00458; DB00476; DB00514; DB00540; DB00543; DB00579; DB00715; DB00726; DB00830; DB00852; DB00907; DB00924; DB00934; DB00937; DB00988; DB01104; DB01105; DB01114; DB01142; DB01149; DB01151; DB01156; DB01170; DB01173; DB01175; DB01221; DB01242; DB01364; DB01381; DB01576; DB01577; DB01579; DB04821; DB04840; DB04896; DB06148; DB06204; DB06700; DB06701; DB08918; DB09068; DB09167; DB09185; DB09225; DB13931; DB14754
PDE4B,L20966,DB00131; DB00201; DB00277; DB00651; DB00824; DB01088; DB01113; DB01656; DB05219
mrcB,X02163,DB00274; DB00303; DB00430; DB00438; DB00689; DB01327; DB01328; DB01329; DB01331; DB01332; DB01415; DB01598; DB04570; DB06211
TSHR,M73747,DB00024
PCCA,X14608,DB00121
NDUFS1,X61100,DB00157
PCYT1B,AF052510,DB00122; DB14006
SCNN1D,U38254,DB00384; DB00594
CRAT,X78706,DB00583
SCNN1G,X87160,DB00384; DB00594
polA,V00317,DB00548
LDLR,L00352,DB00707
NDUFS4,AF020351,DB00157
ADRA1A,D25235,DB00211; DB00246; DB00248; DB00298; DB00321; DB00334; DB00346; DB00363; DB00368; DB00388; DB00408; DB00420; DB00449; DB00450; DB00457; DB00458; DB00477; DB00502; DB00540; DB00543; DB00555; DB00575; DB00590; DB00610; DB00622; DB00656; DB00661; DB00668; DB00679; DB00692; DB00696; DB00699; DB00706; DB00723; DB00726; DB00734; DB00751; DB00777; DB00797; DB00800; DB00831; DB00852; DB00865; DB00875; DB00908; DB00925; DB00935; DB00964; DB01136; DB01142; DB01149; DB01162; DB01186; DB01200; DB01238; DB01253; DB01267; DB01364; DB01403; DB01579; DB01624; DB04855; DB04946; DB04948; DB06144; DB06153; DB06207; DB06216; DB06262; DB06694; DB06706; DB06711; DB06764; DB08950; DB11124; DB12278; DB14185
SLC12A1,U58130,DB00214; DB00310; DB00534; DB00695; DB00761; DB00774; DB00887; DB00903; DB01325; DB02925
MT-ND1,V00662,DB00157; DB01028; DB01159; DB01189; DB01236
TPO,J02969,DB00389; DB00509; DB00550; DB00763; DB08604; DB11085; DB11496
CASR,X81086,DB00994; DB01012; DB11093; DB11348; DB12865; DB14481
TF,M12530,DB00515; DB00677; DB01370; DB01592; DB01593; DB06757; DB09130; DB14487; DB14488; DB14489; DB14490; DB14491; DB14501; DB14517; DB14518; DB14533; DB14548
ERBB2,M11767,DB00072; DB01259; DB05773; DB06366; DB08916; DB11652; DB12010; DB12267; DB15035
NDUFB7,M33374,DB00157
ALDH1A2,AB015226,DB00157; DB00162; DB00755
TK,J02224,DB00299
MTNR1A,U14108,DB00980; DB01065; DB06594; DB09071
ITGAL,Y00796,DB00095; DB00098; DB00227; DB00641; DB01098; DB08860; DB11611
BCAT1,U21551,DB00114; DB00142; DB00161
GCAT,AF077740,DB00114; DB00145
CHAT,S56138,DB00184
EDNRA,S63938,DB00559; DB00945; DB06268; DB06403; DB08932
ADH7,L33179,DB00157
GABRA3,S62908,DB00241; DB00306; DB00312; DB00371; DB00395; DB00402; DB00418; DB00425; DB00599; DB00794; DB00849; DB00898; DB01198; DB01351; DB01353
NDUFA13,AF286697,DB00157
QPRT,D78177,DB00627
GCGR,U03469,DB00040
ASPH,U03109,DB00128
GOT1,M37400,DB00114; DB00128; DB00142; DB00151; DB00210; DB09130
ALB,V00494,DB00276; DB00493; DB00545; DB03255; DB06713; DB11359; DB12965; DB13967
HTR2C,M81778,DB00193; DB00246; DB00247; DB00248; DB00321; DB00334; DB00363; DB00370; DB00408; DB00420; DB00434; DB00458; DB00472; DB00477; DB00502; DB00540; DB00543; DB00574; DB00589; DB00623; DB00656; DB00696; DB00714; DB00726; DB00734; DB00777; DB00805; DB00924; DB00934; DB01079; DB01142; DB01149; DB01151; DB01175; DB01186; DB01191; DB01200; DB01224; DB01238; DB01242; DB01267; DB01392; DB01403; DB04871; DB04948; DB06144; DB06148; DB06153; DB06216; DB06594; DB09195; DB14185
GRIN3B,AC004528,DB00145; DB01159; DB01173
CA4,M83670,DB00273; DB00436; DB00562; DB00703; DB00774; DB00819; DB00869; DB00909; DB01021; DB01144; DB01194; DB09460
SERPINA7,M14091,DB09130
FGA,AF361104,DB00009; DB00015; DB00029; DB00031; DB01593; DB05099; DB11300; DB11311; DB11571; DB11572; DB13151; DB14487; DB14533; DB14548
SRD5A1,M32313,DB00367; DB01126; DB01216; DB09389
QDPR,X04882,DB00157
NDUFA11,AJ539081,DB00157
GAPDH,X01677,DB00157; DB09092; DB09130
PCCB,X73424,DB00121; DB00161
NDUFAB1,AF087660,DB00157
POLA1,X06745,DB00242; DB00631; DB01073; DB01280
frdA,J01611,DB00730
NDUFA2,AF047185,DB00157
MT-ND4,J01415,DB00157
HPGD,L76465,DB00157
KCNMA1,U13913,DB00356; DB00436; DB00774; DB00999; DB01119; DB01159; DB04209
ALDH1A1,M31994,DB00157; DB00162; DB00755
P,X69798,DB00709; DB01265
NPR1,X15357,DB00325; DB00727; DB00883; DB01612; DB01613; DB04899
PGR,X51730,DB00294; DB00304; DB00351; DB00367; DB00378; DB00396; DB00421; DB00431; DB00588; DB00603; DB00648; DB00717; DB00823; DB00834; DB00957; DB01395; DB01406; DB01428; DB06713; DB06789; DB08867; DB08906; DB09123; DB09124; DB09389; DB11064; DB11219; DB11619; DB12941; DB13867; DB14512; DB14583
IDH3B,U49283,DB00157
CHRM2,M16404,DB00202; DB00246; DB00280; DB00332; DB00334; DB00342; DB00363; DB00376; DB00383; DB00387; DB00392; DB00408; DB00411; DB00424; DB00434; DB00458; DB00462; DB00483; DB00496; DB00508; DB00517; DB00572; DB00622; DB00725; DB00728; DB00747; DB00785; DB00804; DB00809; DB00835; DB00907; DB00934; DB00940; DB00986; DB01019; DB01036; DB01062; DB01069; DB01075; DB01085; DB01135; DB01142; DB01148; DB01151; DB01224; DB01226; DB01231; DB01238; DB01239; DB01336; DB01337; DB01338; DB01403; DB01409; DB01591; DB03128; DB04834; DB06153; DB06702; DB06787; DB08801; DB08897; DB09076; DB09089; DB09167; DB09300; DB11181; DB11235; DB12278; DB14185
FARSB,D84430,DB00120
SLC7A2,D29990,DB00123; DB00129
,M22159,DB00205; DB01131; DB01299
IL1R1,X16896,DB00026; DB10770
GAMT,Z49878,DB00148; DB00536
FOLH1,M99487,DB00089; DB00142
CDO1,Z31357,DB00151; DB00157
RDH5,U43559,DB00157; DB00162
PDHA1,M27257,DB00157
ADRA2B,M34041,DB00246; DB00248; DB00292; DB00363; DB00368; DB00408; DB00457; DB00484; DB00502; DB00575; DB00589; DB00629; DB00668; DB00714; DB00726; DB00734; DB00797; DB00800; DB00925; DB00935; DB00964; DB01018; DB01136; DB01200; DB01224; DB01238; DB01267; DB01392; DB01403; DB01577; DB04846; DB04855; DB05271; DB06148; DB06153; DB06216; DB06262; DB06694; DB11124; DB14185
ACADSB,U12778,DB00313
HMGCR,M11058,DB00157; DB00175; DB00227; DB00439; DB00641; DB01076; DB01095; DB01098; DB08860; DB09061
ADRA1B,M99589,DB00211; DB00246; DB00248; DB00298; DB00321; DB00334; DB00346; DB00363; DB00368; DB00388; DB00408; DB00457; DB00458; DB00477; DB00540; DB00575; DB00590; DB00622; DB00661; DB00668; DB00679; DB00692; DB00696; DB00706; DB00723; DB00726; DB00734; DB00745; DB00800; DB00908; DB00925; DB00935; DB01136; DB01142; DB01149; DB01162; DB01186; DB01200; DB01238; DB01267; DB01403; DB01576; DB01579; DB01608; DB04855; DB06144; DB06153; DB06207; DB06262; DB06694; DB09128; DB11124; DB14185
pbpA,BA000016,DB00229; DB00267; DB00301; DB00417; DB00447; DB00456; DB00713; DB00833; DB00948; DB01061; DB01066; DB01112; DB01139; DB01147; DB01604; DB01605
SQLE,D78130,DB00735; DB00857; DB01091
HSD17B8,BT007239,DB00157
SLC25A20,Y10319,DB00583
MT-ND5,J01415,DB00157
DRD3,U32499,DB00246; DB00248; DB00268; DB00334; DB00363; DB00391; DB00408; DB00409; DB00413; DB00477; DB00490; DB00502; DB00543; DB00589; DB00714; DB00988; DB01100; DB01184; DB01186; DB01200; DB01224; DB01235; DB01238; DB01239; DB01267; DB01392; DB01403; DB04946; DB05271; DB06016; DB06148; DB06216; DB06288; DB11274; DB14185
ALDH1A3,U07919,DB00157; DB00162
NA,X15281,DB00198
SRD5A2,M74047,DB00548; DB01126; DB01216
EHHADH,L07077,DB00157
HMOX2,D21243,DB00157
mrcA,X02164,DB00274; DB00303; DB00430; DB00438; DB01327; DB01328; DB01329; DB01331; DB01332; DB01333; DB01415; DB01598; DB04570; DB06211
MDH1,D55654,DB00157
ITGA4,X16983,DB00108; DB06822; DB09033
embC,,DB00330
AKR1C3,S68288,DB00157; DB00328; DB01698; DB02266
RDH13,AK075392,DB00162
,V01555,DB00632
BLVRB,D26308,DB00140; DB00157; DB03247
NDUFB9,AF044956,DB00157
CD1A,M28825,DB00098
SLC25A4,J02966,DB00720; DB01077
ALDH3A2,L47162,DB00157
SLC12A4,U55054,DB00761; DB00887
GAD2,M81882,DB00142
PSAT1,AF113132,DB00114; DB00142
ME1,X77244,DB00157
ACAD8,AF126245,DB03147
GCLM,L35546,DB00142; DB00151
NARS,AJ000334,DB00174
PDHA2,M86808,DB00157
PTGFR,L24470,DB00287; DB00654; DB00905; DB01160; DB08819; DB11660
,CR382398,DB01117
TH,Y00414,DB00120; DB00135; DB00360; DB00765
PCYT1A,L28957,DB00122; DB14006
,,DB01593; DB09130; DB14487
MTHFD1,J04031,DB00157
GLDC,M63635,DB00114
ATP4B,M75110,DB05351
nfsA,U18655,DB00698; DB03247
AKR1C2,U05598,DB00157; DB01586; DB06777
SLC25A6,J03592,DB00720; DB01077
GHRHR,L01406,DB00010; DB08869
ACACA,U19822,DB00121
CSF2RA,X17648,DB00020; DB10770; DB10772; DB11338
HBB,U01317,DB00893; DB01593; DB06154; DB09112; DB09130; DB09517; DB13995; DB14487; DB14533; DB14548
M,M23978,DB00478; DB00915
PDE10A,AB020593,DB00975; DB01113; DB08814
OPRK1,U11053,DB00193; DB00289; DB00295; DB00318; DB00321; DB00327; DB00370; DB00396; DB00454; DB00497; DB00514; DB00555; DB00611; DB00647; DB00652; DB00704; DB00708; DB00813; DB00825; DB00836; DB00844; DB00854; DB00899; DB00921; DB01183; DB01209; DB01221; DB01238; DB01452; DB06148; DB06204; DB06230; DB06274; DB06800; DB09209; DB09272; DB11130; DB11186; DB11691
,X04370,DB00787; DB13896
BRAF,M95712,DB00398; DB08881; DB08896; DB08912; DB11718; DB12010; DB14840
HCAR2,AY148884,DB00257; DB00627; DB08949
CMPK1,AF070416,DB00441
ACSL1,D10040,DB00131
GRIA1,M64752,DB00142; DB00237; DB00555; DB00753; DB00898; DB01028; DB01189; DB01236; DB08883; DB13146
GRIN3A,AJ416950,DB00142; DB00392; DB00514; DB00721; DB00898; DB00915; DB01159; DB01173; DB01221; DB06151
MMP2,J03210,DB01197
KCNJ1,U12541,DB00217; DB00222; DB00350; DB00414; DB01124; DB01382
UGDH,AF061016,DB00157; DB09130
SLC6A3,M96670,DB00182; DB00191; DB00245; DB00285; DB00408; DB00422; DB00454; DB00458; DB00476; DB00543; DB00579; DB00721; DB00726; DB00745; DB00830; DB00852; DB00865; DB00907; DB00937; DB00988; DB01104; DB01105; DB01114; DB01146; DB01149; DB01156; DB01161; DB01175; DB01238; DB01576; DB01577; DB04821; DB06148; DB06413; DB06700; DB06701; DB14754
GSR,X15722,DB00143; DB00157; DB00262; DB03147; DB03310; DB09061; DB09130
HTR7,U68487,DB00246; DB00247; DB00248; DB00315; DB00321; DB00363; DB00408; DB00434; DB00458; DB00477; DB00502; DB00543; DB00589; DB00734; DB00751; DB00924; DB00934; DB00988; DB01200; DB01224; DB01238; DB01267; DB04946; DB04948; DB06148; DB06216; DB06288; DB08815; DB09068; DB09225; DB14185
IL2RB,M26062,DB00004; DB00041; DB00074
FOLR3,Z32564,DB00158
RARRES1,U27185,DB00755
EPOR,M60459,DB00012; DB00016; DB08894; DB09107
MT-ND2,J01415,DB00157
PLA2G4A,M72393,DB00588; DB00721; DB13867
IL2RA,X01057,DB00004; DB00041; DB00074
HTR1D,M89955,DB00216; DB00246; DB00248; DB00315; DB00320; DB00321; DB00363; DB00408; DB00574; DB00589; DB00669; DB00696; DB00714; DB00726; DB00734; DB00918; DB00952; DB00953; DB00998; DB01186; DB01200; DB01224; DB01238; DB01267; DB01392; DB04948; DB06153; DB14185
SPTLC2,Y08686,DB00114
IFNAR1,J03171,DB00008; DB00011; DB00018; DB00022; DB00034; DB00060; DB00068; DB00069; DB00105; DB14999
TSTA3,U58766,DB00157
RARA,X06614,DB00210; DB00459; DB00523; DB00755; DB00799; DB00982; DB12808
HIV-1 protease,AJ010714,DB00220
ACVR1B,Z22536,DB12010
CALY,AF225903,DB00363; DB00831
GPT,U70732,DB00114; DB00142; DB00780
NR3C2,M16801,DB00393; DB00396; DB00421; DB00588; DB00624; DB00687; DB00700; DB01013; DB01023; DB01395; DB06780; DB08906; DB13867; DB13943; DB13944; DB13946
SLC16A1,L31801,DB00119
ASS1,X01630,DB00128
KCNQ1,AF000571,DB01244; DB04855; DB11633
CD33,M23197,DB00056
NDUFB8,AF044958,DB00157
PRKAA1,AB022017,DB00131; DB00914; DB12010
ASIC2,U50352,DB00594
CACNG1,L07738,DB00308; DB00343; DB00528; DB00898; DB04842
KCNK6,AF134149,DB00308; DB00908
L,X57559,DB00811
PNLIP,J05125,DB01083
NDUFA3,AF044955,DB00157
SHBG,X16349,DB00179; DB00255; DB00367; DB00396; DB00421; DB00539; DB00655; DB00675; DB00882; DB00890; DB01593; DB04573; DB04824; DB09371; DB11221; DB11619; DB14487; DB14533; DB14548
F,D00334,DB00110
THRA,X55074,DB00279; DB00451; DB00509; DB01583; DB04855; DB09100
FFAR1,AF024687,DB00159
FGF1,M13361,DB00686; DB01025; DB01109; DB06589; DB10770; DB10772
ERG11,L40389,DB01026; DB01167; DB09040; DB11633
CACNA2D1,M76559,DB00230; DB00270; DB00308; DB00401; DB00622; DB00996; DB01023; DB01054; DB04838; DB06712; DB08872
TAT,X52520,DB00114; DB00120; DB00135; DB00142
IDO1,M34455,DB00435; DB09061
ADRB2,Y00106,DB00195; DB00221; DB00248; DB00264; DB00335; DB00368; DB00373; DB00397; DB00449; DB00489; DB00521; DB00571; DB00598; DB00612; DB00668; DB00816; DB00841; DB00852; DB00867; DB00871; DB00925; DB00938; DB00960; DB00983; DB01001; DB01064; DB01102; DB01136; DB01151; DB01182; DB01193; DB01203; DB01210; DB01214; DB01238; DB01274; DB01288; DB01291; DB01359; DB01364; DB01366; DB01407; DB01580; DB04846; DB04861; DB05039; DB06216; DB06262; DB06814; DB09080; DB09082; DB11124; DB11587; DB13139
FKBP1A,M34539,DB00337; DB00864; DB00877
GPRC5A,AF095448,DB00755
PC,U04641,DB00119; DB00121
KCNH7,AF032897,DB00308; DB01162
FPGS,M98045,DB00142; DB00293
CARS,L06845,DB00151
ACACB,U89344,DB00121; DB00173
ABCB11,AF091582,DB01016
TNF,M16441,DB00005; DB00051; DB00065; DB00608; DB00668; DB00852; DB01041; DB01296; DB01407; DB01427; DB06674; DB08904; DB08910; DB10770; DB10772; DB11967; DB13751
CYSLTR1,AF119711,DB00471; DB00549; DB00716
RXRG,U38480,DB00210; DB00307; DB00412; DB00459; DB00523; DB00755; DB01393; DB03756
KCNJ11,D50582,DB00222; DB00308; DB00661; DB00922; DB01119; DB01154; DB11633
SLC25A5,M57424,DB00720; DB01077
FCGR1A,X14356,DB00002; DB00005; DB00028; DB00056; DB00087; DB00108; DB00110; DB00112; DB00707; DB06607; DB11767; DB14962
IFNGR1,J03143,DB00033
,L07922,DB00632
VKORC1,AY423044,DB00170; DB00266; DB00498; DB00682; DB00946; DB01418
CKM,M14780,DB00148
ADRA1D,M76446,DB00211; DB00248; DB00298; DB00321; DB00346; DB00368; DB00388; DB00457; DB00458; DB00540; DB00575; DB00590; DB00622; DB00661; DB00668; DB00692; DB00696; DB00706; DB00723; DB00800; DB00908; DB00925; DB00935; DB01136; DB01142; DB01162; DB01186; DB01200; DB01403; DB04855; DB06144; DB06153; DB06207; DB06262; DB06694; DB11124
POLA2,L24559,DB00851
PLAUR,X51675,DB00009; DB00013; DB00031
ALDH3A1,M74542,DB00157
CD2,M19806,DB00092
GAPDHS,AJ005371,DB00157; DB01593; DB14487; DB14533; DB14548
BCAT2,U68418,DB00114; DB00142
IMPDH2,J04208,DB00157; DB00688; DB00811; DB01024
BGLAP,X53698,DB00170; DB01022; DB05260
DARS,J05032,DB00128
RDH12,AK054835,DB00162
AADAT,AF097994,DB00114; DB00142
PYCR2,AF087859,DB00157
NDUFS2,AF013160,DB00157
CYP11B1,M32879,DB00648; DB01011; DB11837
ATP1A1,D00099,DB00390; DB00511; DB00774; DB00903; DB01021; DB01078; DB01092; DB01119; DB01158; DB01188; DB01244; DB01345; DB01370; DB01378; DB01396; DB01430; DB13996; DB14498; DB14499; DB14500; DB14517; DB14518
ddlA,M58467,DB00260
MTR,U71285,DB00115; DB00134; DB00200; DB03614; DB11590
HMOX1,X06985,DB00157
TSPO,M36035,DB01178; DB01198
DLD,J03490,DB00157; DB03147
CHRNA2,U62431,DB00184; DB00411; DB00416; DB00472; DB00483; DB00514; DB00565; DB00657; DB00721; DB00728; DB00732; DB00898; DB01135; DB01199; DB01226; DB01245; DB01336; DB01337; DB01338; DB01339
RYR1,J05200,DB00201; DB01219; DB09085
BLVRA,X93086,DB00157
TOP2A,J04088,DB00218; DB00276; DB00380; DB00385; DB00444; DB00445; DB00467; DB00487; DB00537; DB00685; DB00694; DB00773; DB00978; DB00997; DB01059; DB01165; DB01177; DB01179; DB01204; DB01208; DB09047
rplJ,AE005674,DB00778; DB01211; DB01369; DB01627
dacB,X59460,DB00303; DB00417; DB00760; DB01328; DB01329; DB01331; DB04570; DB14879
GLRA2,X52008,DB00145; DB00431; DB00898; DB01956
AKR1B1,J04795,DB00143; DB00157; DB00605; DB04272
FGFR2,X52832,DB00039; DB01041; DB01109; DB08896; DB08901; DB09078; DB09079; DB10770; DB10772; DB12010; DB12147; DB15102; DB15685; DB15822
SLC6A4,X70697,DB00176; DB00182; DB00191; DB00193; DB00215; DB00245; DB00285; DB00289; DB00321; DB00344; DB00408; DB00454; DB00458; DB00472; DB00476; DB00514; DB00540; DB00543; DB00574; DB00579; DB00656; DB00661; DB00715; DB00726; DB00805; DB00852; DB00907; DB00924; DB00988; DB01104; DB01105; DB01114; DB01142; DB01149; DB01151; DB01175; DB01191; DB01238; DB01242; DB01577; DB04821; DB04832; DB04896; DB06077; DB06148; DB06204; DB06684; DB06700; DB06701; DB08918; DB09016; DB09068; DB09167; DB09195; DB09225
OXT,M25650,DB00107
SLC9A1,M81768,DB00594
PAH,K03020,DB00120; DB00360; DB00368; DB06262
NDUFA12,AF217092,DB00157
GLUD2,X66310,DB00142; DB00157
DRD2,M30625,DB00182; DB00246; DB00248; DB00268; DB00334; DB00363; DB00372; DB00391; DB00408; DB00409; DB00413; DB00420; DB00433; DB00450; DB00458; DB00477; DB00490; DB00502; DB00508; DB00540; DB00543; DB00555; DB00568; DB00589; DB00623; DB00679; DB00696; DB00714; DB00715; DB00726; DB00734; DB00777; DB00805; DB00831; DB00850; DB00875; DB00915; DB00933; DB00934; DB00988; DB01043; DB01063; DB01069; DB01100; DB01151; DB01175; DB01184; DB01186; DB01200; DB01221; DB01224; DB01233; DB01235; DB01238; DB01239; DB01267; DB01392; DB01403; DB01618; DB01621; DB01623; DB01624; DB04842; DB04844; DB04946; DB05271; DB05316; DB06016; DB06077; DB06144; DB06148; DB06216; DB06288; DB08815; DB09097; DB09128; DB09225; DB11274; DB14185
SLC22A4,AB007448,DB00583
ARG2,D86724,DB00129
GRIN2A,U09002,DB00142; DB00145; DB00454; DB00949; DB01159; DB06151
