"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"291","BMPR1A",657,"ENST00000372037","NM_004329.2","ENST00000372037","NM_004329.2",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"292","CDKN1A",1026,"ENST00000244741","NM_078467.2","ENST00000244741","NM_078467.2",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"293","CIITA",4261,"ENST00000324288","","ENST00000324288","",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
"294","CUL3",8452,"ENST00000264414","NM_003590.4","ENST00000264414","NM_003590.4",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"295","CUX1",1523,"ENST00000292535","NM_181552.3","ENST00000292535","NM_181552.3",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
"296","DDX3X",1654,"ENST00000399959","NM_001356.4","ENST00000478993","NM_001356.4",4,"Yes","No","Yes","No","Yes","No","Yes","No","Yes","TSG"
"297","DICER1",23405,"ENST00000343455","NM_030621.3","ENST00000343455","NM_030621.3",4,"Yes","No","Yes","Yes","Yes","No","No","No","Yes","TSG"
"298","DIS3",22894,"ENST00000377767","NM_014953.3","ENST00000377767","NM_014953.3",4,"Yes","No","Yes","Yes","Yes","Yes","No","No","No","TSG"
"299","DNAJB1",3337,"ENST00000254322","NM_006145.1","ENST00000254322","NM_006145.1",4,"Yes","No","No","Yes","Yes","No","No","No","Yes","Unkown"
"300","DNMT1",1786,"ENST00000340748","NM_001379.2","ENST00000340748","NM_001379.2",4,"Yes","Yes","No","Yes","Yes","No","No","Yes","No","Oncogene"
