"","Hugo.Symbol","Entrez.Gene.ID","GRCh37.Isoform","GRCh37.RefSeq","GRCh38.Isoform","GRCh38.RefSeq","X..of.occurrence.within.resources..Column.D.J.","OncoKB.Annotated","Is.Oncogene","Is.Tumor.Suppressor.Gene","MSK.IMPACT","MSK.HEME","FOUNDATION.ONE","FOUNDATION.ONE.HEME","Vogelstein","SANGER.CGC.05.30.2017.","Oncogene_TSG"
"413","GNA12",2768,"ENST00000275364","NM_007353.2","ENST00000275364","NM_007353.2",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"414","GNB1",2782,"ENST00000378609","NM_001282539.1","ENST00000378609","NM_001282539.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"415","GPS2",2874,"ENST00000380728","NM_004489.4","ENST00000380728","NM_004489.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"416","GREM1",26585,"ENST00000300177","NM_013372.6","ENST00000300177","NM_013372.6",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"417","H1-3",3007,"ENST00000244534","NM_005320.2","ENST00000244534","NM_005320.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"418","H1-4",3008,"ENST00000304218","NM_005321.2","ENST00000304218","NM_005321.2",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"419","H2AC11",8969,"ENST00000358739","NM_003509.2","ENST00000358739","NM_003509.2",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"420","H2AC16",8332,"ENST00000357320","NM_003511","ENST00000613174","NM_003511",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"421","H2AC17",8336,"ENST00000359611","NM_003514","ENST00000359611","NM_003514",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"422","H2AC6",8334,"ENST00000314088","NM_003512.3","ENST00000314088","NM_003512.3",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"423","H2BC11",8970,"ENST00000339812","NM_021058.3","ENST00000339812","NM_021058.3",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"424","H2BC12",85236,"ENST00000356950","NM_080593.2","ENST00000356950","NM_080593.2",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"425","H2BC17",8348,"ENST00000616182","NM_003527.4","ENST00000616182","NM_003527.4",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"426","H2BC4",8347,"ENST00000314332","NM_003518.3","ENST00000314332","NM_003518.3",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"427","H2BC5",3017,"ENST00000289316","NM_021063.3","ENST00000289316","NM_021063.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"428","H3-4",8290,"ENST00000366696","NM_003493.2","ENST00000366696","NM_003493.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"429","H3-5",440093,"ENST00000340398","NM_001013699.2","ENST00000340398","NM_001013699.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"430","H3C1",8350,"ENST00000357647","NM_003529.2","ENST00000356476","NM_003529.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"431","H3C10",8357,"ENST00000369163","NM_003536.2","ENST00000369163","NM_003536.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"432","H3C11",8354,"ENST00000328488","NM_003533.2","ENST00000616365","NM_003533.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"433","H3C12",8356,"ENST00000359303","NM_003535.2","ENST00000359303","NM_003535.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"434","H3C13",653604,"ENST00000331491","NM_001123375.2","ENST00000331491","NM_001123375.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"435","H3C14",126961,"ENST00000369158","NM_021059.2","ENST00000369158","NM_021059.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"436","H3C3",8352,"ENST00000540144","NM_003531.2","ENST00000612966","NM_003531.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"437","H3C4",8351,"ENST00000356476","NM_003530.4","ENST00000356476","NM_003530.4",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"438","H3C6",8353,"ENST00000360408","NM_003532.2","ENST00000634733","NM_003532.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"439","H3C7",8968,"ENST00000446824","NM_021018.2","ENST00000618052","NM_021018.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"440","H3C8",8355,"ENST00000305910","NM_003534.2","ENST00000614378","NM_003534.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"441","HDAC4",9759,"ENST00000345617","NM_006037.3","ENST00000345617","NM_006037.3",3,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","Oncogene"
"442","HDAC7",51564,"ENST00000427332","XM_011538481.1","ENST00000427332","XM_011538481.1",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"443","HIF1A",3091,"ENST00000337138","NM_001530.3","ENST00000337138","NM_001530.3",3,"Yes","Yes","No","No","Yes","No","No","No","Yes","Oncogene"
"444","HLA-B",3106,"ENST00000412585","NM_005514.6","ENST00000412585","NM_005514.6",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"445","HOXB13",10481,"ENST00000290295","NM_006361.5","ENST00000290295","NM_006361.5",3,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Oncogene"
"446","ICOSLG",23308,"ENST00000407780","NM_015259.4","ENST00000407780","NM_015259.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"447","IFNGR1",3459,"ENST00000367739","NM_000416.2","ENST00000367739","NM_000416.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"448","IGF1",3479,"ENST00000307046","NM_001111285.1","ENST00000307046","NM_001111285.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"449","IGF2",3481,"ENST00000434045","NM_001127598.1","ENST00000434045","NM_001127598.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"450","IKZF3",22806,"ENST00000346872","NM_012481.4","ENST00000346872","NM_012481.4",3,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","Oncogene"
"451","IL10",3586,"ENST00000423557","NM_000572.2","ENST00000423557","NM_000572.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"452","INHA",3623,"ENST00000243786","NM_002191.3","ENST00000243786","NM_002191.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"453","INPP4A",3631,"ENST00000074304","NM_001134224.1","ENST00000074304","NM_001134224.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"454","INPPL1",3636,"ENST00000298229","NM_001567.3","ENST00000298229","NM_001567.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"455","INSR",3643,"ENST00000302850","NM_000208.2","ENST00000302850","NM_000208.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"456","IRF1",3659,"ENST00000245414","NM_002198.2","ENST00000245414","NM_002198.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"457","IRF8",3394,"ENST00000268638","NM_002163.2","ENST00000268638","NM_002163.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"458","IRS1",3667,"ENST00000305123","NM_005544.2","ENST00000305123","NM_005544.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"459","JARID2",3720,"ENST00000341776","NM_004973.3","ENST00000341776","NM_004973.3",3,"Yes","Yes","Yes","No","Yes","No","Yes","No","No","Oncogene"
"460","KAT6A",7994,"ENST00000265713","NM_006766.4","ENST00000265713","NM_006766.4",3,"Yes","No","No","No","No","No","Yes","No","Yes","Unkown"
"461","KMT2B",9757,"ENST00000222270","NM_014727.1","ENST00000420124","NM_014727.1",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"462","KMT5A",387893,"ENST00000330479","NM_020382.3","ENST00000402868","NM_020382.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"463","KNSTRN",90417,"ENST00000249776","NM_033286.3","ENST00000249776","NM_033286.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"464","LCK",3932,"ENST00000336890","NM_001042771.2","ENST00000336890","NM_001042771.2",3,"Yes","Yes","No","No","Yes","No","No","No","Yes","Oncogene"
"465","LMO2",4005,"ENST00000395833","NM_001142315.1","ENST00000395833","NM_001142315.1",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"466","LZTR1",8216,"ENST00000215739","NM_006767.3","ENST00000646124","NM_006767.3",3,"Yes","No","Yes","Yes","No","No","No","No","Yes","TSG"
"467","MAFB",9935,"ENST00000373313","NM_005461.4","ENST00000373313","NM_005461.4",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"468","MAPK3",5595,"ENST00000263025","NM_002746.2","ENST00000263025","NM_002746.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"469","MAPKAP1",79109,"ENST00000265960","NM_001006617.1","ENST00000265960","NM_001006617.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"470","MDC1",9656,"ENST00000376406","NM_014641.2","ENST00000376406","NM_014641.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"471","MECOM",2122,"ENST00000468789","NM_001105078.3","ENST00000468789","NM_001105078.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"472","MGA",23269,"ENST00000219905","NM_001164273.1","ENST00000219905","NM_001164273.1",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"473","MLLT10",8028,"ENST00000307729","NM_001195626.1","ENST00000307729","NM_001195626.1",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"474","MSI1",4440,"ENST00000257552","NM_002442.3","ENST00000257552","NM_002442.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"475","MST1",4485,"ENST00000449682","NM_020998.3","ENST00000449682","NM_020998.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"476","MTAP",4507,"ENST00000380172","NM_002451.3","ENST00000644715","NM_002451.3",3,"Yes","No","Yes","Yes","No","Yes","No","No","No","TSG"
"477","MYB",4602,"","","","",3,"No","No","No","No","No","Yes","Yes","No","Yes","Unkown"
"478","NCOA3",8202,"ENST00000371998","NM_181659.2","ENST00000371998","NM_181659.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"479","NCSTN",23385,"ENST00000294785","NM_015331.2","ENST00000294785","NM_015331.2",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"480","NEGR1",257194,"ENST00000357731","NM_173808.2","ENST00000357731","NM_173808.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"481","NKX3-1",4824,"ENST00000380871","NM_006167.3","ENST00000380871","NM_006167.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"482","NOTCH4",4855,"ENST00000375023","NM_004557.3","ENST00000375023","NM_004557.3",3,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Oncogene"
"483","NR4A3",8013,"ENST00000395097","NM_006981.3","ENST00000395097","NM_006981.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"484","NTHL1",4913,"ENST00000219066","NM_002528.5","ENST00000219066","NM_002528.5",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"485","NUF2",83540,"ENST00000271452","NM_031423.3","ENST00000271452","NM_031423.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"486","NUP98",4928,"ENST00000359171","XM_005252950.1","ENST00000355260","XM_005252950.1",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"487","NUTM1",256646,"ENST00000333756","XM_011521429.1","ENST00000333756","XM_011521429.1",3,"Yes","No","No","No","No","Yes","No","No","Yes","Unkown"
"488","PAK1",5058,"ENST00000356341","NM_002576.4","ENST00000356341","NM_002576.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"489","PAK5",57144,"ENST00000353224","NM_177990.2","ENST00000353224","NM_177990.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"490","PCBP1",5093,"ENST00000303577","NM_006196.3","ENST00000303577","NM_006196.3",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"491","PDGFB",5155,"ENST00000331163","NM_002608.2","ENST00000331163","NM_002608.2",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"492","PDPK1",5170,"ENST00000342085","NM_002613.4","ENST00000342085","NM_002613.4",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"493","PGR",5241,"ENST00000325455","NM_000926.4","ENST00000325455","NM_000926.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"494","PIK3C3",5289,"ENST00000262039","NM_002647.2","ENST00000262039","NM_002647.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"495","PIK3CD",5293,"ENST00000377346","NM_005026.3","ENST00000377346","NM_005026.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"496","PIK3R3",8503,"ENST00000262741","NM_003629.3","ENST00000262741","NM_003629.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"497","PLCG1",5335,"ENST00000373271","NM_182811.1","ENST00000373271","NM_182811.1",3,"Yes","Yes","No","No","Yes","No","No","No","Yes","Oncogene"
"498","PLK2",10769,"ENST00000274289","NM_006622.3","ENST00000274289","NM_006622.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"499","PMAIP1",5366,"ENST00000316660","NM_021127.2","ENST00000316660","NM_021127.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"500","PMS1",5378,"ENST00000441310","NM_000534.4","ENST00000441310","NM_000534.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"501","PNRC1",10957,"ENST00000336032","NM_006813.2","ENST00000336032","NM_006813.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"502","PPP4R2",151987,"ENST00000356692","NM_174907.2","ENST00000356692","NM_174907.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"503","PRDM14",63978,"ENST00000276594","NM_024504.3","ENST00000276594","NM_024504.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"504","PRKD1",5587,"ENST00000331968","NM_002742.2","ENST00000331968","NM_002742.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"505","PTP4A1",7803,"ENST00000370651","NM_003463.4","ENST00000626021","NM_003463.4",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"506","PTPN2",5771,"ENST00000309660","NM_002828.3","ENST00000309660","NM_002828.3",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"507","PTPRD",5789,"ENST00000356435","NM_002839.3","ENST00000356435","NM_002839.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"508","PTPRS",5802,"ENST00000357368","NM_002850.3","ENST00000587303","NM_002850.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"509","RAB35",11021,"ENST00000229340","NM_006861.6","ENST00000229340","NM_006861.6",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"510","RAC2",5880,"ENST00000249071","NM_002872.4","ENST00000249071","NM_002872.4",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"511","RASA1",5921,"ENST00000274376","NM_002890.2","ENST00000274376","NM_002890.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"512","RBM15",64783,"ENST00000369784","NM_022768.4","ENST00000369784","NM_022768.4",3,"Yes","Yes","Yes","No","No","No","Yes","No","Yes","Oncogene"
"513","RECQL",5965,"ENST00000421138","NM_032941.2","ENST00000421138","NM_032941.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"514","RHEB",6009,"ENST00000262187","NM_005614.3","ENST00000262187","NM_005614.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"515","RIT1",6016,"ENST00000368323","NM_006912.5","ENST00000368323","NM_006912.5",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"516","RPS6KA4",8986,"ENST00000334205","NM_003942.2","ENST00000334205","NM_003942.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"517","RPS6KB2",6199,"ENST00000312629","NM_003952.2","ENST00000312629","NM_003952.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"518","RRAGC",64121,"ENST00000373001","NM_022157.3","ENST00000373001","NM_022157.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"519","RRAS",6237,"ENST00000246792","NM_006270.3","ENST00000246792","NM_006270.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"520","RRAS2",22800,"ENST00000256196","NM_012250.5","ENST00000256196","NM_012250.5",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"521","RTEL1",51750,"ENST00000508582","NM_032957.4","ENST00000508582","NM_032957.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"522","RXRA",6256,"ENST00000481739","NM_002957.4","ENST00000481739","NM_002957.4",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"523","RYBP",23429,"ENST00000477973","NM_012234.5","ENST00000477973","NM_012234.5",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"524","SESN1",27244,"ENST00000436639","NM_014454.2","ENST00000436639","NM_014454.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"525","SESN2",83667,"ENST00000253063","NM_031459.4","ENST00000253063","NM_031459.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"526","SESN3",143686,"ENST00000536441","NM_144665.3","ENST00000536441","NM_144665.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"527","SETDB1",9869,"ENST00000271640","NM_001145415.1","ENST00000271640","NM_001145415.1",3,"Yes","Yes","Yes","Yes","Yes","No","No","No","No","Oncogene"
"528","SH2D1A",4068,"ENST00000371139","NM_002351.4","ENST00000371139","NM_002351.4",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"529","SHOC2",8036,"ENST00000369452","NM_007373.3","ENST00000369452","NM_007373.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"530","SHQ1",55164,"ENST00000325599","NM_018130.2","ENST00000325599","NM_018130.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"531","SLX4",84464,"ENST00000294008","NM_032444.2","ENST00000294008","NM_032444.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"532","SMARCE1",6605,"ENST00000348513","NM_003079.4","ENST00000348513","NM_003079.4",3,"Yes","Yes","Yes","Yes","No","No","No","No","Yes","Oncogene"
"533","SMC1A",8243,"ENST00000322213","NM_006306.3","ENST00000322213","NM_006306.3",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"534","SMC3",9126,"ENST00000361804","NM_005445.3","ENST00000361804","NM_005445.3",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"535","SMYD3",64754,"ENST00000388985","NM_001167740.1","ENST00000490107","NM_001167740.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"536","SOS1",6654,"ENST00000402219","NM_005633.3","ENST00000402219","NM_005633.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"537","SOX17",64321,"ENST00000297316","NM_022454.3","ENST00000297316","NM_022454.3",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"538","SPRED1",161742,"ENST00000299084","NM_152594.2","ENST00000299084","NM_152594.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"539","SS18",6760,"ENST00000415083","NM_001007559.2","ENST00000415083","NM_001007559.2",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"540","STK19",8859,"ENST00000375331","NM_004197.1","ENST00000375331","NM_004197.1",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"541","STK40",83931,"ENST00000373129","NM_032017.1","ENST00000373129","NM_032017.1",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"542","TAL1",6886,"ENST00000294339","NM_001287347.2","ENST00000294339","NM_001287347.2",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"543","TAP1",6890,"ENST00000354258","NM_000593.5","ENST00000354258","NM_000593.5",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"544","TAP2",6891,"ENST00000374899","NM_018833.2","ENST00000383119","NM_018833.2",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"545","TCL1A",8115,"ENST00000402399","NM_001098725.1","ENST00000402399","NM_001098725.1",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"546","TFE3",7030,"ENST00000315869","NM_006521.5","ENST00000315869","NM_006521.5",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"547","TGFBR1",7046,"ENST00000374994","NM_004612.2","ENST00000374994","NM_004612.2",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"548","TLX1",3195,"ENST00000370196","NM_005521.3","ENST00000370196","NM_005521.3",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"549","TLX3",30012,"ENST00000296921","NM_021025.2","ENST00000296921","NM_021025.2",3,"Yes","Yes","No","No","No","No","Yes","No","Yes","Oncogene"
"550","TP53BP1",7158,"ENST00000382044","NM_001141980.1","ENST00000382044","NM_001141980.1",3,"Yes","No","Yes","Yes","Yes","No","No","No","No","TSG"
"551","TRAF3",7187,"ENST00000392745","NM_003300.3","ENST00000392745","NM_003300.3",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"552","TRAF5",7188,"ENST00000261464","NM_001033910.2","ENST00000261464","NM_001033910.2",3,"Yes","No","Yes","No","Yes","No","Yes","No","No","TSG"
"553","TYK2",7297,"ENST00000264818","NM_003331.4","ENST00000264818","NM_003331.4",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"554","U2AF2",11338,"ENST00000308924","NM_007279.2","ENST00000308924","NM_007279.2",3,"Yes","No","No","No","Yes","No","Yes","No","No","Unkown"
"555","UBR5",51366,"ENST00000520539","NM_015902.5","ENST00000520539","NM_015902.5",3,"Yes","Yes","No","No","Yes","No","No","No","Yes","Oncogene"
"556","UPF1",5976,"ENST00000262803","NM_002911.3","ENST00000262803","NM_002911.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"557","USP8",9101,"ENST00000307179","NM_001128610.2","ENST00000307179","NM_001128610.2",3,"Yes","Yes","No","Yes","No","No","No","No","Yes","Oncogene"
"558","VTCN1",79679,"ENST00000369458","NM_024626.3","ENST00000369458","NM_024626.3",3,"Yes","No","No","Yes","Yes","No","No","No","No","Unkown"
"559","XBP1",7494,"ENST00000216037","NM_005080.3","ENST00000216037","NM_005080.3",3,"Yes","Yes","No","No","Yes","No","Yes","No","No","Oncogene"
"560","XIAP",331,"ENST00000355640","NM_001167.3","ENST00000355640","NM_001167.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"561","YAP1",10413,"ENST00000282441","NM_001130145.2","ENST00000282441","NM_001130145.2",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"562","YES1",7525,"ENST00000314574","NM_005433.3","ENST00000314574","NM_005433.3",3,"Yes","Yes","No","Yes","Yes","No","No","No","No","Oncogene"
"563","ABI1",10006,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"564","ACTG1",71,"ENST00000331925","NM_001199954.1","ENST00000573283","NM_001199954.1",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"565","ACVR1B",91,"","","","",2,"No","No","No","No","No","Yes","No","Yes","No","Unkown"
"566","AFDN",4301,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"567","AFF1",4299,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"568","AFF4",27125,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"569","AGO1",26523,"ENST00000373204","NM_012199.2","ENST00000373204","NM_012199.2",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"570","ALB",213,"ENST00000295897","NM_000477.5","ENST00000295897","NM_000477.5",2,"Yes","No","No","Yes","No","No","No","No","No","Unkown"
"571","APLNR",187,"ENST00000257254","NM_005161.4","ENST00000257254","NM_005161.4",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"572","ARFRP1",10139,"","","","",2,"No","No","No","No","No","Yes","Yes","No","No","Unkown"
"573","ARHGAP26",23092,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"574","ARHGAP35",2909,"ENST00000404338","NM_004491.4","ENST00000404338","NM_004491.4",2,"Yes","Yes","Yes","Yes","No","No","No","No","No","Oncogene"
"575","ARHGEF12",23365,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"576","ARHGEF28",64283,"ENST00000426542","NM_001177693.1","ENST00000426542","NM_001177693.1",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"577","ARID3A",1820,"ENST00000263620","NM_005224.2","ENST00000263620","NM_005224.2",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"578","ARID3B",10620,"ENST00000346246","NM_001307939.1","ENST00000346246","NM_001307939.1",2,"Yes","Yes","No","No","Yes","No","No","No","No","Oncogene"
"579","ARID3C",138715,"ENST00000378909","NM_001017363.1","ENST00000378909","NM_001017363.1",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"580","ARID4A",5926,"ENST00000355431","NM_002892.3","ENST00000355431","NM_002892.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"581","ARID4B",51742,"ENST00000264183","NM_001206794.1","ENST00000264183","NM_001206794.1",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"582","ARID5A",10865,"ENST00000357485","NM_212481.1","ENST00000357485","NM_212481.1",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"583","ARNT",405,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"584","ATIC",471,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
"585","ATP6AP1",537,"ENST00000369762","NM_001183.5","ENST00000369762","NM_001183.5",2,"Yes","No","No","No","Yes","No","No","No","No","Unkown"
"586","ATP6V1B2",526,"ENST00000276390","NM_001693.3","ENST00000276390","NM_001693.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"587","ATXN2",6311,"ENST00000377617","NM_002973.3","ENST00000550104","NM_002973.3",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"588","ATXN7",6314,"ENST00000295900","NM_000333.3","ENST00000295900","NM_000333.3",2,"Yes","Yes","No","Yes","No","No","No","No","No","Oncogene"
"589","BACH2",60468,"ENST00000257749","NM_001170794.1","ENST00000257749","NM_001170794.1",2,"Yes","No","Yes","No","Yes","No","No","No","No","TSG"
"590","BCL11A",53335,"","","","",2,"No","No","No","No","No","No","Yes","No","Yes","Unkown"
