gene	gene_MoA
ZC3H11A	ambiguous
ZFHX3	LoF
ZFP36L1	LoF
ZFP36L2	LoF
ZMYM2	Act
ZNF292	LoF
ZNF638	ambiguous
ZNF750	LoF
ZNF814	Act
ZNRF3	LoF
ZRSR2	LoF
CCNE1	Act
JUN	Act
MDM2	Act
MDM4	Act
MYCL1	Act
NKX2-1	ambiguous
REL	Act
SOX2	Act
AURKA	ambiguous
BCL2	Act
CCND2	Act
CCND3	Act
CD274	Act
CDK2	ambiguous
EPHA3	ambiguous
FGF3	ambiguous
FGF4	ambiguous
FRS2	ambiguous
PAK1	ambiguous
PDPK1	ambiguous
RICTOR	ambiguous
TERT	Act
AKAP9	Act
ARHGEF12	Act
ARNT	Act
ASPSCR1	Act
BCL11B	Act
BCL3	Act
BCL7A	Act
BCL9	Act
BCR	Act
BRD3	Act
BRD4	Act
CANT1	Act
CDX2	Act
CHCHD7	Act
CHIC2	Act
CLTCL1	Act
CNBP	Act
COX6C	Act
CREB3L1	Act
CREB3L2	Act
ETV5	Act
EWSR1	Act
F8	Act
FNBP1	Act
HNRNPA2B1	Act
HOOK3	Act
KDM5A	Act
KIAA1549	Act
KIF5B	Act
LIFR	Act
LMO2	Act
LPP	Act
LRP1B	LoF
MLLT11	Act
MNX1	Act
MTCP1	Act
MUC1	Act
NCOA2	Act
NFIB	Act
NTN4	Act
NUMA1	Act
NUP214	Act
PDCD1LG2	Act
PDE4DIP	Act
PLAG1	Act
PRCC	Act
RALGDS	Act
RNF213	Act
RPN1	Act
SEPT5	Act
SEPT9	Act
SET	Act
SS18L1	Act
TAL2	Act
TCEA1	Act
TFE3	Act
TFEB	Act
TFPT	Act
TFRC	Act
TPM3	Act
TRIM24	Act
ZNF331	Act
ZNF521	Act
