translocation	effector_gene	cancer_acronym	source
ETV6__MN1	MN1	AML;MEN;BRCA;LK,LY;MDS;FIBS-PR	cgc
ETV6__MNX1	MNX1	AML;LK,LY;BRCA;MDS;FIBS-PR	cgc
HOXA9__MSI2	MSI2	AML;CML	cgc
MTCP1__TRA	MTCP1	TCPL;TCALL	cgc
IGH__MUC1	MUC1	NHLY	cgc
MYB__NFIB	MYB	SG	cgc
.__MYC	MYC	HEMATO	biomarker
BTG1__MYC	MYC	BLY;CLL	cgc
IGH__MYC	MYC	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
IGK__MYC	MYC	BLY;CLL;NHLY	cgc
IGL__MYC	MYC	BLY	cgc
MYC__TRA	MYC	BLY;CLL;TCALL	cgc
NCOA1__PAX3	NCOA1	RHBDS	cgc
HEY1__NCOA2	NCOA2	AML;CS;RHBDS	cgc
KAT6A__NCOA2	NCOA2	AML;CS;RHBDS	cgc
NCOA2__NCOA2	NCOA2	AML;CS;RHBDS	cgc
NCOA2__PAX3	NCOA2	RHBDS	cgc
NCOA4__RET	NCOA4	ALL;PHEO;MM;AML;CM;CLL;LUAD;NSCLC;THM;DLBCL;TH	validated;cgc
ERG__NDRG1	NDRG1	AML;EWS;PRAD	cgc
COX6C	NFIB	SG	cgc
HGMA2__NFIB	NFIB	SG	cgc
IGH__NFKB2	NFKB2	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
.__NOTCH1	NOTCH1	BRCA	biomarker
GABBR2__NOTCH1	NOTCH1	HNSC;TCALL;SCC;BRCA;BLCA;LUSC	cgc
NOTCH1__SEC16A	NOTCH1	HNSC;TCALL;SCC;BRCA;BLCA;LUSC	cgc
NOTCH1__TRB	NOTCH1	ALL;HNSC;TCALL;SCC;MM;AML;CLL;BRCA;DLBCL;BLCA;LUSC	validated;cgc
.__NOTCH2	NOTCH2	BRCA	biomarker
MLF1__NPM1	NPM1	APML;AML;NHLY	cgc
NPM1__RARA	NPM1	APML;AML;NHLY	cgc
NR4A3__TAF15	NR4A3	ALL;CS	cgc
NR4A3__TCF12	NR4A3	CS	cgc
NR4A3__TFG	NR4A3	ALCL;CS;NSCLC;TH	cgc
CD74__NRG1	NRG1	NSCLC	cgc
.__NRG1	NRG1	LUAD	biomarker
CD74__NTRK1	NTRK1	LUAD	validated
.__NTRK1	NTRK1	COREAD	biomarker
LMNA__NTRK1	NTRK1	CM;TH	cgc
MPRIP__NTRK1	NTRK1	LUAD	validated
NTRK1__TFG	NTRK1	CM;THCA;CS;NSCLC;ALCL;TH	validated;cgc
NTRK1__TP53	NTRK2	S;AC;CM;BRCA;L;G;CANCER;ACC;TH;COREAD	cgc
.__NTRK3	NTRK3	BRCA	biomarker
ETV6__NTRK3	NTRK3	ALL;MM;AML;CLL;BRCA;LK,LY;DLBCL;MDS;FIBS-PR	validated;cgc
NTRK1__TPM3	NTRK3	ALCL;CM;THCA;TH;NSCLC	validated;cgc
NTRK1__TPR	NTRK4	CM;THCA;TH;NSCLC	validated;cgc
DEK__NUP214	NUP214	AML;TCALL	cgc
NUP98__RAP1GDS1	NUP98	AML;TCALL	cgc
NUP98__SETBP1	NUP98	AML;MML;ACML;DNT;CML;MDS	cgc
NUP98__TOP1	NUP98	AML	cgc
NUP98__WHSC1L1	NUP98	AML	cgc
HOXA11__NUP98	NUP98	AML;CML	cgc
HOXA13__NUP98	NUP98	AML	cgc
HOXA9__NUP98	NUP98	AML	cgc
HOXC11__NUP98	NUP98	AML	cgc
HOXC13__NUP98	NUP98	AML	cgc
HOXD11__NUP98	NUP98	AML	cgc
HOXD13__NUP98	NUP98	AML	cgc
KDM5A__NUP98	NUP98	AML	cgc
NSD1__NUP98	NUP98	AML	cgc
NUP98__PRRX1	NUP98	AML	cgc
NUP98__PSIP1	NUP98	AML	cgc
NUTM2A__YWHAE	NUTM2A	EDS	cgc
NUTM2B__YWHAE	NUTM2B	EDS	cgc
OLIG2__TRA	OLIG2	TCALL	cgc
IGH__PAFAH1B2	PAFAH1B2	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
FOXO1__PAX3	PAX3	RHBDS	cgc
ETV6__PAX5	PAX5	ALL;BRCA;LK,LY;NHLY;MDS;FIBS-PR	cgc
FOXP1__PAX5	PAX5	ALL;NHLY	cgc
IGH__PAX5	PAX5	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
PAX5__PML	PAX5	ALL;APML;NHLY	cgc
PAX5__ZNF521	PAX5	ALL;NHLY	cgc
ELN__PAX5	PAX5	ALL;NHLY	cgc
FOXO1__PAX7	PAX7	RHBDS	cgc
PAX8__PPARG	PAX8	THF	cgc
PBX1__TCF3	PBX1	ALL;MYEP	cgc
IGH__PCSK7	PCSK7	ALL;BLY;MM;BCL;CLL;MALT;NHLY	cgc
CIITA__PDCD1LG2	PDCD1LG2	BCL;HLY	cgc
.__PDGFRA	PDGFRA	MDS;MDPS	biomarker
FIP1L1__PDGFRA	PDGFRA	MM;GIST;ECL;HES;GB	biomarker;validated;cgc
COL1A1__PDGFB	PDGFRB	DFS;ABC	cgc
CCDC6__PDGFRB	PDGFRB	NSCLC;TH;CML	cgc
COL1A1__PDGFRB	PDGFRB	MDS;MDPS	biomarker
ETV6__PDGFRB	PDGFRB	MM;AML;BRCA;HEMATO;LK,LY;CML;MDS;FIBS-PR	validated;cgc
H4__PDGFRB	PDGFRB	AML;CML;HEMATO	cgc
HIP1__PDGFRB	PDGFRB	AML;NSCLC;CML;HEMATO	cgc
NIN__PDGFRB	PDGFRB	AML;CML;HEMATO	cgc
PDE4DIP__PDGFRB	PDGFRB	AML;CML;HEMATO	cgc
PDGFRB__RABEP1	PDGFRB	AML;CML;HEMATO	cgc
PDGFRB__SART3	PDGFRB	MM	validated
PDGFRB__SPECC1	PDGFRB	AML;MML;CML;HEMATO	cgc
PDGFRB__TRIP11	PDGFRB	AML;CML;HEMATO	cgc
ETV6__PER1	PER1	AML;BRCA;LK,LY;CML;MDS;FIBS-PR	cgc
COL1A2__PLAG1	PLAG1	SGA	cgc
CHCHD7__PLAG1	PLAG1	SGA	cgc
HAS2__PLAG1	PLAG1	SGA	cgc
LIFR__PLAG1	PLAG1	SGA	cgc
PLAG1__TCEA1	PLAG1	SGA	cgc
HMGA2__RAD51B	RAD51B	SG	cgc
.__RAF1	RAF1	PRAD	biomarker
ESRP1__RAF1	RAF1	PIA;PRAD	cgc
RAF1__SRGAP3	RAF1	PIA;PA;PRAD	validated;cgc
CIITA__RALGDS	RALGDS	BCL;;HLY	cgc
RANBP17__TRD	RANBP17	ALL;LK	cgc
BCOR__RARA	RARA	AML;RB	cgc
NUMA1__RARA	RARA	APML	cgc
PML__RARA	RARA	APML;ALL;AML	biomarker;cgc
RARA__STAT5B	RARA	APML;BCC;LGLK	cgc
RARA__TRIM24	RARA	APML	cgc
RARA__ZBTB16	RARA	APML	cgc
MKL1__RBM15	RBM15	MKB	cgc
CCDC6__RET	RET	PHEO;CM;LUAD;NSCLC;THM;TH;CML	validated;cgc
ERC1__RET	RET	CM;TH	cgc
GOLGA5__RET	RET	CM;PHEO;TH;THM;NSCLC	cgc
H4__RET	RET	CM;PHEO;TH;THM;NSCLC	cgc
HOOK3__RET	RET	CM;PHEO;TH;THM;NSCLC	cgc
KIF5B__RET	RET	PHEO;CM;LUAD;NSCLC;THM;TH	validated;cgc
KTN1__RET	RET	CM;PHEO;TH;THM;NSCLC	cgc
PCM1__RET	RET	PHEO;CM;HEMATO;NSCLC;THM;TH;CML	cgc
PRKAR1A__RET	RET	PHEO;ES;CM;MYX;NSCLC;THM;TH	cgc
RET__TPCN1	RET	THCA	biomarker
RET__TRIM27	RET	CM;PHEO;TH;THM;NSCLC	cgc
RET__TRIM33	RET	CM;PHEO;TH;THM;NSCLC	cgc
CIITA__RMI2	RMI2	BCL;HLY	cgc
ETV6__RNF217-AS1	RNF217-AS1	ALL;LK,LY;BRCA;MDS;FIBS-PR	cgc
CCDC6__ROS1	ROS1	NSCLC	validated
CD74__ROS1	ROS1	NSCLC	validated;cgc
.__ROS1	ROS1	NSCLC	biomarker
CLIP1__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
DCTN1__ROS1	ROS1	IM;CM	cgc
ERC1__ROS1	ROS1	GBM;CM;CH;NSCLC;OV;TH	cgc
EZR__ROS1	ROS1	OV;CM;NSCLC;GBM;CH	validated;cgc
FIG__ROS1	ROS1	NSCLC	validated
GOPC__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
HLA-A__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
KDELR2__ROS1	ROS1	NSCLC	validated
KIAA1598__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
LRIG3__ROS1	ROS1	OV;CM;NSCLC;GBM;CH	validated;cgc
MYO5A__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
PPFIBP1__ROS1	ROS1	IM;GBM;CM;CH;NSCLC;OV	cgc
PWWP2A__ROS1	ROS1	OV;CM;GBM;NSCLC;CH	cgc
ROS1__SDC4	ROS1	OV;CM;NSCLC;GBM;CH	validated;cgc
ROS1__SLC34A2	ROS1	OV;CM;NSCLC;GBM;CH	validated;cgc
ROS1__TPM3	ROS1	GBM;CM;CH;NSCLC;OV;ALCL;TH	validated;cgc
ROS1__ZCCHC8	ROS1	CM	cgc
ROS1__ZCCHHC8	ROS1	OV;CM;GBM;NSCLC;CH	cgc
EIF3E__RSPO2	RSPO2	COREAD	cgc
EIF3E__RSPO3	RSPO3	COREAD	cgc
PTPRK__RSPO3	RSPO3	COREAD	cgc
CIITA__RUNDC2A	RUNDC2A	BCL;HLY	cgc
AFF3__RUNX1	RUNX1	ALL;AML;TCALL	cgc
CBFA2T3__RUNX1	RUNX1	ALL;AML;TCALL	cgc
