pathway
KEGG_SPLICEOSOME
KEGG_PROTEASOME
KEGG_PATHOGENIC_ESCHERICHIA_COLI_INFECTION
KEGG_HOMOLOGOUS_RECOMBINATION
KEGG_BASE_EXCISION_REPAIR
KEGG_MISMATCH_REPAIR
KEGG_RIBOSOME
KEGG_RNA_DEGRADATION
KEGG_AMINOACYL_TRNA_BIOSYNTHESIS
KEGG_PROXIMAL_TUBULE_BICARBONATE_RECLAMATION
KEGG_DNA_REPLICATION
