gene
HNRNPH2
C8orf82
DDX6
SMARCA5
CLPB
MTHFS
FGD4
ADH6
ZBTB7A
QARS
UBE2H
HEBP2
TMPO
BHMT
CHCHD2
ATP5H
AIMP2
COA6
PDCL3
GLOD4
SNRPC
EIF2AK2
MSH3
IMPA1
PA2G4
EIF3CL
GRB7
SGTA
HSPBP1
PSMA5
HSPA5
MARCKS
GART
NPEPPS
ACAA2
PPP2R5D
TOMM70A
HNRNPA1
S100A16
ARPC4
FTSJ3
IER3IP1
MRPS36
H2AFY2
TUBB6
ITGB1
SIRT5
TACO1
NUDT2
CD59
THOC2
CTPS2
MRPL4
TUFM
PSMD1
G6PD
TRIM47
INHBE
COX5B
TYROBP
HNRNPA1L2
TIMM8A
TSR1
AK2
SKP1
NOP10
PSMD6
ACTL6A
ACO2
ECI2
PDP1
KIAA1715
EIF1B
DAP3
PTPN6
ALDH7A1
ALDH1L1
CDK5
OCIAD1
RAB1B
RBM39
TUBA3C
TUBA3D
POLR1C
GTF2I
VPS4B
RPL10
PRMT5
NAE1
CTPS1
ABAT
CD2AP
RTN4
PPIH
LSM2
RUVBL1
SF3B5
GALE
TMED10
ACTR3C
CHERP
MRPL45
RPL13
LOC100996820
CRYZ
VPS28
PDHA1
NDUFB5
SRSF4
SRP9
PPAT
HNRNPH1
BCL10
RBM47
SNRNP200
MRPL13
ACTR1B
CERS2
SOD1
DLD
SAR1B
CAPN1
BLOC1S3
GNB2L1
SYMPK
UGT1A9
MRPS33
RPA1
RPL26
UGT1A8
MRPS21
MANF
UFC1
CTSD
SHC1
NPEPL1
LSM3
NDUFA2
MRPL28
ELMOD2
SRSF1
CMPK1
SERPINE1
MYEF2
PPP5C
PRKAR1A
MCCC2
AGPAT3
HNRNPA0
RUVBL2
CS
CTSH
FTCD
COPE
SF3A3
RANBP1
RPL18A
TST
SREK1
UBE2M
FN1
DDX17
PMVK
CLEC11A
PFDN2
RPL24
HSPA4
ACO1
YTHDF3
PSMB1
CHDH
ALDH8A1
LYRM7
PSMB5
CENPV
NTPCR
SLC25A10
UBXN4
PSMC5
